chunk_id,extracted_at_utc,documents_scanned,participant_candidates,participant_accepted,participant_suppressed,participant_funds,participant_with_name,participant_with_cnpj,participant_with_page,criteria_candidates,criteria_funds,criteria_with_threshold,criteria_with_page,subordination_candidates,subordination_funds,avg_participant_confidence,avg_criteria_confidence,participant_types,criteria_keys,rerun_command
doc-0092,2026-07-10T17:23:59+00:00,100,39,9,30,7,25,39,39,192,8,45,192,20,1,0.4669,0.8272,cedente_originador | consultora | sacado_devedor,eligibility_rule | subordination_ratio_min | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0092
doc-0093,2026-07-10T17:24:03+00:00,100,35,14,21,5,15,35,35,297,11,35,297,9,3,0.5437,0.8178,consultora | cedente_originador | sacado_devedor,eligibility_rule | subordination_ratio_min,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0093
doc-0094,2026-07-10T17:24:07+00:00,100,41,24,17,7,24,41,41,174,10,90,174,73,5,0.6056,0.846,cedente_originador | consultora | sacado_devedor,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0094
doc-0095,2026-07-10T17:24:13+00:00,100,40,12,28,6,15,40,40,105,9,17,105,5,2,0.468,0.8232,cedente_originador | consultora | sacado_devedor,subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0095
doc-0096,2026-07-10T17:24:16+00:00,100,10,3,7,5,9,10,10,169,11,68,169,36,7,0.547,0.8411,cedente_originador | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0096
doc-0097,2026-07-10T17:24:20+00:00,100,9,8,1,4,2,8,9,157,10,61,157,44,7,0.6667,0.8403,cedente_originador | consultora,subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0097
doc-0098,2026-07-10T17:24:23+00:00,100,16,14,2,4,15,11,16,110,9,15,110,15,1,0.6919,0.8225,cedente_originador | consultora,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0098
doc-0099,2026-07-10T17:24:27+00:00,100,19,11,8,6,15,19,19,171,13,53,171,49,8,0.6163,0.8325,sacado_devedor | cedente_originador | consultora,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0099
doc-0100,2026-07-10T17:24:31+00:00,100,2,0,2,1,1,2,2,214,9,52,214,30,3,0.315,0.8241,cedente_originador,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0100
doc-0101,2026-07-10T17:24:35+00:00,100,6,6,0,3,6,6,6,266,15,40,266,28,5,0.8733,0.8263,cedente_originador | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0101
doc-0102,2026-07-10T17:24:38+00:00,100,7,7,0,2,7,7,7,104,11,13,104,8,2,0.95,0.8221,consultora | cedente_originador,eligibility_rule | subordination_ratio_min,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0102
doc-0103,2026-07-10T17:24:42+00:00,100,17,7,10,7,16,17,17,167,12,7,167,3,2,0.6212,0.8165,cedente_originador | consultora | sacado_devedor,subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0103
doc-0104,2026-07-10T17:24:45+00:00,100,14,12,2,6,11,14,14,129,13,27,129,16,5,0.8143,0.8239,cedente_originador | consultora,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0104
doc-0105,2026-07-10T17:24:49+00:00,100,17,6,11,5,7,17,17,188,14,33,188,27,4,0.5335,0.8239,consultora | cedente_originador,eligibility_rule | subordination_ratio_min,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0105
doc-0106,2026-07-10T17:24:53+00:00,98,17,17,0,6,14,17,17,209,15,83,209,46,7,0.8994,0.8386,consultora | cedente_originador,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0106
doc-0107,2026-07-10T17:24:57+00:00,92,22,14,8,7,12,22,22,216,16,22,216,8,3,0.6573,0.8168,cedente_originador | consultora,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0107
doc-0108,2026-07-10T17:25:01+00:00,86,7,2,5,4,6,7,7,116,14,24,116,24,5,0.5186,0.8279,cedente_originador,subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0108
doc-0109,2026-07-10T17:25:04+00:00,82,10,8,2,4,4,10,10,160,13,36,160,27,8,0.719,0.8263,cedente_originador | consultora,subordination_ratio_min | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0109
doc-0110,2026-07-10T17:25:08+00:00,86,23,15,8,6,16,23,23,186,16,11,186,7,2,0.7165,0.8126,cedente_originador | sacado_devedor,subordination_not_applicable | subordination_ratio_min | eligibility_rule | concentration_limit,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0110
doc-0111,2026-07-10T17:25:12+00:00,100,18,2,16,4,14,18,18,238,18,31,238,16,4,0.4328,0.8233,consultora | cedente_originador,subordination_ratio_min | eligibility_rule | fic_investment_condition,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0111
doc-0112,2026-07-10T17:25:14+00:00,28,4,4,0,1,4,4,4,91,7,11,91,10,1,0.95,0.8231,cedente_originador,subordination_ratio_min | fic_investment_condition | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0112
doc-0113,2026-07-10T17:25:17+00:00,37,8,6,2,1,8,8,8,90,15,8,90,5,2,0.83,0.8182,cedente_originador,subordination_deferred | eligibility_rule | subordination_ratio_min,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0113
doc-0114,2026-07-10T17:25:19+00:00,28,0,0,0,0,0,0,0,55,9,1,55,0,0,,0.8207,,fic_investment_condition | eligibility_rule,python scripts/build_fidc_industry_document_fields.py --chunk-id doc-0114
