measure,ranking_code,ranking_label,window,participant,rank,value_brl_or_count,share
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,CEF,6.0,2307550000.0,0.04361430378
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,UBS BB,7.0,1660328739.99,0.03138137073
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,CITIGROUP,8.0,1413200920.39,0.02671048265
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,ABC BRASIL,9.0,1358943918.19,0.02568498748
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,VOTORANTIM,10.0,1247901153.8400002,0.02358620182
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,SAFRA,11.0,1051705631.4499999,0.01987796966
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,M7 IB,12.0,736443687.0,0.01391929912
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BR PARTNERS,13.0,594117000.0,0.01122922551
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,DAYCOVAL,14.0,455092500.0,0.00860156553
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BB-BI,15.0,377602200.0,0.00713694484
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BOCOM BBM,16.0,219898840.0,0.00415624139
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BNDES,17.0,130000000.0,0.00245709063
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,MAX CAPITAL MARKETS,18.0,100000000.0,0.00189006972
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BANCO BS2,19.0,50000000.0,0.00094503486
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BNP PARIBAS,20.0,37200000.0,0.00070310594
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,RABOBANK,21.0,6462936.1,0.000122154
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,WARREN,22.0,398000.0,7.52248e-06
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,ANDBANK,23.0,363500.0,6.8704e-06
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,JIVE HIGH YIELD GESTÃO DE RECURSOS LTDA.,24.0,11064.85,2.0913e-07
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,ARCHX CAPITAL,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BANCO BMG,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,BANCO SUMITOMO MITSUI BRASILEIRO,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,CREDIT AGRICOLE,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,GENIAL CV,,0.0,
distribuicao_valor,1.2,Renda Fixa - Longo Prazo,acumulado_ano,INTER,,0.0,
