chunk_id,extracted_at_utc,documents,ready_docs,cached_docs,pdf_docs,json_docs,text_cache_docs,ocr_ready_docs,ocr_required_docs,error_docs,page_count,pages_processed,pages_with_text,text_chars,cache_bytes,avg_confidence,status_mix,source_methods,sample_documents,rerun_command
doc-0031,2026-07-09T22:21:41+00:00,100,100,100,100,0,0,1,0,0,3324,3324,3323,7789114,2273022,0.8015,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages,"684390_regulamento_regulamento_684390_2024-06-21_2024-06-21.pdf, 684391_regulamento_regulamento_684391_2024-06-21_2024-06-21.pdf, 501809_regulamento_regulamento_501809_2023-08-07_2023-08-07.pdf, 462977_regulamento_regulamento_462977_2023-05-12_2023-05-12.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0031
doc-0032,2026-07-09T22:22:30+00:00,100,100,100,100,0,0,2,0,0,2654,2654,2651,6168098,1802441,0.803,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages,"1185713_emissao_emissao_1185713_2026-05-11_2026-05-11.pdf, 1035378_emissao_emissao_1035378_2025-11-12_2025-11-12.pdf, 1016886_emissao_emissao_1016886_2025-10-17_2025-10-17.pdf, 1016887_evento_evento_1016887_2025-10-17_2025-10-17.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0032
doc-0033,2026-07-09T22:23:23+00:00,100,100,100,100,0,0,2,0,0,3923,3923,3922,8453984,2411948,0.8028,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages,"1126879_assembleia_assembleia_1126879_2026-03-03_2026-03-03.pdf, 1067443_assembleia_assembleia_1067443_2025-12-18_2025-12-18.pdf, 1044421_assembleia_assembleia_1044421_2025-11-10_2025-11-10.pdf, 909594_assembleia_assembleia_909594_2025-05-16_2025-05-16.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0033
doc-0034,2026-07-09T22:24:50+00:00,100,100,100,100,0,0,3,0,0,1966,1966,1965,4344393,1351253,0.8043,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages,"411453_regulamento_regulamento_411453_2023-02-06_2023-02-06.pdf, 411457_regulamento_regulamento_411457_2023-02-06_2023-02-06.pdf, 341381_regulamento_regulamento_341381_2022-08-01_2022-08-01.pdf, 878958_assembleia_assembleia_878958_2025-04-23_2025-04-23.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0034
doc-0035,2026-07-09T22:41:41+00:00,100,100,100,100,0,0,2,0,0,3753,3753,3753,8403739,2207976,0.8015,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages | pypdf_plus_macos_vision_ocr_105_pages,"909452_assembleia_assembleia_909452_2025-05-19.pdf, 883969_assembleia_assembleia_883969_2025-04-22.pdf, 865079_assembleia_assembleia_865079_2025-03-26.pdf, 825889_assembleia_assembleia_825889_2025-01-20.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0035
doc-0036,2026-07-09T22:35:25+00:00,100,100,100,100,0,0,2,0,0,2548,2548,2546,5841638,1677041,0.803,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages,"1003922_emissao_emissao_1003922_2025-10-01_2025-10-01.pdf, 999663_emissao_emissao_999663_2025-09-23_2025-09-23.pdf, 862387_regulamento_regulamento_862387_2025-03-12_2025-03-12.pdf, 1188985_assembleia_assembleia_1188985_2026-05-12.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0036
doc-0037,2026-07-09T22:36:40+00:00,100,100,100,100,0,0,1,0,0,2002,2002,2002,4645604,1414127,0.8015,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages,"1078781_emissao_emissao_1078781_2026-01-12_2026-01-12.pdf, 1078782_emissao_emissao_1078782_2026-01-12_2026-01-12.pdf, 1056150_emissao_emissao_1056150_2025-12-08_2025-12-08.pdf, 946504_emissao_emissao_946504_2025-07-15_2025-07-15.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0037
doc-0038,2026-07-09T22:37:36+00:00,100,100,100,100,0,0,2,0,0,3172,3172,3170,7796323,2270178,0.803,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages,"974166_assembleia_assembleia_974166_2025-07-22_2025-07-22.pdf, 824349_assembleia_assembleia_824349_2025-01-03_2025-01-03.pdf, 824350_evento_evento_824350_2025-01-13_2025-01-13.pdf, 812852_regulamento_regulamento_812852_2025-01-03_2025-01-03.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0038
doc-0039,2026-07-09T22:43:26+00:00,100,100,100,100,0,0,0,0,0,3063,3063,3063,7085875,2084452,0.8,text_ready,pypdf_all_pages,"883397_emissao_emissao_883397_2025-04-22_2025-04-22.pdf, 1089709_assembleia_assembleia_1089709_2026-01-20_2026-01-20.pdf, 824471_assembleia_assembleia_824471_2025-01-22_2025-01-22.pdf, 1075935_evento_evento_1075935_2026-01-05_2026-01-05.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0039
doc-0040,2026-07-09T22:44:19+00:00,100,100,100,100,0,0,0,0,0,4502,4502,4501,11240755,3157646,0.8,text_ready,pypdf_all_pages,"940800_regulamento_regulamento_940800_2025-07-02_2025-07-02.pdf, 872429_regulamento_regulamento_872429_2025-04-02_2025-04-02.pdf, 1095919_emissao_emissao_1095919_2026-01-29_2026-01-29.pdf, 967535_emissao_emissao_967535_2025-08-13_2025-08-13.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0040
doc-0041,2026-07-09T22:45:38+00:00,100,100,100,100,0,0,1,0,0,3646,3646,3645,7614123,2203682,0.8015,text_ready | ocr_ready,pypdf_all_pages | macos_vision_ocr_all_pages,"1185753_evento_evento_1185753_2026-05-11_2026-05-11.pdf, 910441_evento_evento_910441_2025-05-07_2025-05-07.pdf, 917083_regulamento_regulamento_917083_2025-05-07_2025-05-07.pdf, 1004753_regulamento_regulamento_1004753_2025-10-01_2025-10-01.pdf",python scripts/build_fidc_industry_document_text.py --chunk-id doc-0041
