competencia,segmento,nivel,valor
2014-09,Financeiro: veiculos,sub,6597547571.93
2014-09,Financeiro: imobiliario empresarial,sub,391071106.72
2014-09,Financeiro: imobiliario residencial,sub,696207203.75
2014-09,Financeiro: outros,sub,4496915116.65
2014-10,Industrial,top,25332302601.99
2014-10,Imobiliario,top,338858854.11
2014-10,Comercial,top,8082098718.83
2014-10,Servicos,top,6853328785.91
2014-10,Agronegocio,top,1370557281.19
2014-10,Financeiro,top,21073292311.54
2014-10,Cartao de credito,top,929977297.4000001
2014-10,Factoring,top,4134672216.3599997
2014-10,Setor publico,top,1907135313.42
2014-10,Acoes judiciais,top,2682311554.91
2014-10,Marcas e patentes,top,0.0
2014-10,Financeiro: credito pessoal,sub,1556605710.9099998
2014-10,Financeiro: consignado,sub,4898361782.62
2014-10,Financeiro: credito corporativo,sub,1576832330.6699998
2014-10,Financeiro: middle market,sub,1116709428.3
2014-10,Financeiro: veiculos,sub,6372831881.280001
2014-10,Financeiro: imobiliario empresarial,sub,392128243.86
2014-10,Financeiro: imobiliario residencial,sub,762103111.91
2014-10,Financeiro: outros,sub,4397719821.99
2014-11,Industrial,top,25518758925.68
2014-11,Imobiliario,top,374666498.71000004
2014-11,Comercial,top,8072935903.82
2014-11,Servicos,top,7184925395.07
2014-11,Agronegocio,top,1352723326.5700002
2014-11,Financeiro,top,20312323264.210003
2014-11,Cartao de credito,top,917684136.2
2014-11,Factoring,top,4186135948.7999997
2014-11,Setor publico,top,1937518672.4
2014-11,Acoes judiciais,top,2621189059.63
2014-11,Marcas e patentes,top,0.0
2014-11,Financeiro: credito pessoal,sub,1493160497.55
2014-11,Financeiro: consignado,sub,4550282650.25
2014-11,Financeiro: credito corporativo,sub,1392146533.84
2014-11,Financeiro: middle market,sub,1101893082.33
2014-11,Financeiro: veiculos,sub,6183205800.030001
2014-11,Financeiro: imobiliario empresarial,sub,382612206.02
2014-11,Financeiro: imobiliario residencial,sub,749906819.02
2014-11,Financeiro: outros,sub,4459115675.17
2014-12,Industrial,top,26942952037.550003
2014-12,Imobiliario,top,364539467.1
2014-12,Comercial,top,9767232795.67
2014-12,Servicos,top,8717174887.11
2014-12,Agronegocio,top,1687280325.02
2014-12,Financeiro,top,19276481818.25
2014-12,Cartao de credito,top,971111137.8299999
2014-12,Factoring,top,776307560.52
2014-12,Setor publico,top,2300905872.59
2014-12,Acoes judiciais,top,2633650189.38
2014-12,Marcas e patentes,top,0.0
2014-12,Financeiro: credito pessoal,sub,1407855675.8400002
2014-12,Financeiro: consignado,sub,3273304421.3900003
2014-12,Financeiro: credito corporativo,sub,1415061662.18
2014-12,Financeiro: middle market,sub,885918438.4300001
2014-12,Financeiro: veiculos,sub,5933387375.65
2014-12,Financeiro: imobiliario empresarial,sub,383028662.90999997
2014-12,Financeiro: imobiliario residencial,sub,466124657.43
2014-12,Financeiro: outros,sub,5511800924.42
2015-01,Industrial,top,23262797434.879997
2015-01,Imobiliario,top,325423732.49
2015-01,Comercial,top,9254154631.080002
2015-01,Servicos,top,8581989028.49
2015-01,Agronegocio,top,1443934700.0099998
2015-01,Financeiro,top,18058155501.82
2015-01,Cartao de credito,top,951733680.6700001
2015-01,Factoring,top,865796664.5899999
2015-01,Setor publico,top,1988262537.15
2015-01,Acoes judiciais,top,2674842926.21
2015-01,Marcas e patentes,top,0.0
2015-01,Financeiro: credito pessoal,sub,1352758083.08
2015-01,Financeiro: consignado,sub,3272210301.74
2015-01,Financeiro: credito corporativo,sub,1367245996.74
2015-01,Financeiro: middle market,sub,874548387.4100001
2015-01,Financeiro: veiculos,sub,4646351559.360001
2015-01,Financeiro: imobiliario empresarial,sub,453857921.81
2015-01,Financeiro: imobiliario residencial,sub,772655461.26
2015-01,Financeiro: outros,sub,5318527790.42
2015-02,Industrial,top,24987737202.130005
2015-02,Imobiliario,top,325246217.46
2015-02,Comercial,top,9325285260.15
2015-02,Servicos,top,8256065394.45
2015-02,Agronegocio,top,1420110843.7199998
2015-02,Financeiro,top,16735934086.300001
2015-02,Cartao de credito,top,993758861.71
2015-02,Factoring,top,625795989.05
2015-02,Setor publico,top,1933403602.1000001
2015-02,Acoes judiciais,top,2669784942.25
2015-02,Marcas e patentes,top,0.0
2015-02,Financeiro: credito pessoal,sub,1313326617.8
2015-02,Financeiro: consignado,sub,2280528707.92
2015-02,Financeiro: credito corporativo,sub,1406850750.26
2015-02,Financeiro: middle market,sub,867139276.86
2015-02,Financeiro: veiculos,sub,4683729470.05
2015-02,Financeiro: imobiliario empresarial,sub,463085860.41
2015-02,Financeiro: imobiliario residencial,sub,773368619.31
2015-02,Financeiro: outros,sub,4947904783.690001
2015-03,Industrial,top,27373014117.950005
2015-03,Imobiliario,top,323933605.58
2015-03,Comercial,top,10152406225.86
2015-03,Servicos,top,7934737004.160001
2015-03,Agronegocio,top,1389186005.88
2015-03,Financeiro,top,17806613910.46
2015-03,Cartao de credito,top,924805370.99
2015-03,Factoring,top,646588073.55
2015-03,Setor publico,top,1393755325.7299998
2015-03,Acoes judiciais,top,2702563701.92
2015-03,Marcas e patentes,top,0.0
2015-03,Financeiro: credito pessoal,sub,1194775095.94
2015-03,Financeiro: consignado,sub,3451621925.4
2015-03,Financeiro: credito corporativo,sub,1397320340.35
2015-03,Financeiro: middle market,sub,1073364156.21
2015-03,Financeiro: veiculos,sub,4737210838.73
2015-03,Financeiro: imobiliario empresarial,sub,355989667.44
2015-03,Financeiro: imobiliario residencial,sub,766144045.66
2015-03,Financeiro: outros,sub,4830187840.73
