rank,participant_key,participant_cnpj,participant_name,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,confidence_median,sector,administrators,managers,custodians,first_evidence_date,latest_evidence_date,commercial_signal_brl
36,21332862000191,21332862000191,CARTOS SOCIEDADE DE CREDITO DIRETO S.A.,1,132075022.35,154170939.915,0.95,"Atividades financeiras, seguros e serviços relacionados",BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRZ INVESTIMENTOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2023-07-26,2023-07-26,286245962.265
37,39876528000164,39876528000164,CB DIGITAL,1,132075022.35,154170939.915,0.95,,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRZ INVESTIMENTOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2023-05-19,2023-05-19,286245962.265
38,36489600000102,36489600000102,CONTPETRA,1,146165336.85,131000000.0,0.78,Atividades administrativas e serviços complementares,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ORIZ ASSET MANAGEMENT LTDA.,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-08-07,2025-08-07,277165336.85
39,06303670000163,06303670000163,CANOAS MANUFATURA DE MAQUINAS AGRICOLAS LTDA,1,245464406.20666668,0.0,0.95,Indústrias de transformação,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,,,245464406.20666668
40,89674782000158,89674782000158,JOHN DEERE,1,245464406.20666668,0.0,0.95,Indústrias de transformação,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,,,245464406.20666668
41,92678093000126,92678093000126,CIBER,1,245464406.20666668,0.0,0.95,Indústrias de transformação,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,,,245464406.20666668
42,JURI ATIVOS JUDICIAIS LTDA,,JURI ATIVOS JUDICIAIS LTDA,1,85240546.65,151000000.0,0.68,,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ORIZ ASSET MANAGEMENT LTDA.,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-06-02,2026-06-02,236240546.65
43,52780865000111,52780865000111,CONECTEPAG 001 S.A.,1,119001160.76,113191500.03,0.76,Atividades administrativas e serviços complementares,BANCO DAYCOVAL S.A.,AUGME CAPITAL GESTÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2024-12-18,2024-12-18,232192660.79000002
44,25630302000174,25630302000174,DISAPE,1,176791519.05,50000000.0,0.77,Comércio e reparação de veículos,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,GHIA GESTÃO DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2025-04-22,2025-04-22,226791519.05
45,01858774000110,01858774000110,BANCO BV S.A,1,212604988.8,0.0,0.95,,BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2023-12-12,2023-12-12,212604988.8
46,59588111000103,59588111000103,BANCO VOTORANTIM S.A.,1,212604988.8,0.0,0.95,"Atividades financeiras, seguros e serviços relacionados",BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2025-04-03,2025-04-03,212604988.8
47,17118468000188,17118468000188,ECO CONSULT - CONSULTORIA DE OPERACOES FINANCEIRAS AGROPECUARIAS LTDA.,1,49021090.41,155000000.0,0.95,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ECO GESTÃO DE ATIVOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2024-12-30,2024-12-30,204021090.41
48,01789121000127,01789121000127,ALBAUGH AGRO BRASIL LTDA.,1,172486339.69666666,26666666.666666668,0.95,Indústrias de transformação,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2024-12-23,2024-12-23,199153006.3633333
