ordem,cnpj,fundo,escopo,competencia,pl_total_cotas_brl,pl_senior_brl,pl_mezanino_brl,pl_subordinada_brl,tem_mezanino,valor_nao_classificado_brl,diferenca_total_vs_mensal_brl,diferenca_submaismez_vs_mensal_brl,fonte
27,44574361000117,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL,Carteira 101,2026-06,466566839.994366,405805372.1106,60761467.88376599,0.0,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
28,45123558000100,CLASSE I DO CANAA FUNDO DE INVESTIMENTO NAS CADEIAS USINA COCAL,Carteira 101,,,,,,False,0.0,,,sem Tabela X.2 na competência mais recente
29,50857998000113,LEO I FUNDO INV DIR CREDITORIOS,Carteira 101,2026-06,176969443.64933208,154674212.8496468,0.0,22295230.79968528,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
30,38376526000143,HOTFUND FIDC,Carteira 101,2026-06,1702368453.8696704,401471400.73099995,0.0,1300897053.1386704,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
31,45598747000121,FIDC SUMUP,Carteira 101,2026-06,378059320.8573863,339622192.257425,0.0,38437128.5999613,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
32,41197066000109,MOVILEPAY CREDITO I FIDC SEGMENTO FINANCEIRO DE RE,Carteira 101,2026-06,657096870.419419,417526313.4598,70332624.36,169237932.59961912,True,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
33,44124617000194,CLOUDWALK AKIRA II FUNDO DE INVESTIMENTO EM DIREITO,Carteira 101,2026-02,39489516.48516368,35261878.515,0.0,4227637.97016368,False,0.0,0.0,0.0,CVM Informe Mensal 2026-02 — Tabela X.2
34,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIRE,Carteira 101,2026-02,157038535.8999734,145500000.0,0.0,11538535.89997338,False,0.0,0.0,0.0,CVM Informe Mensal 2026-02 — Tabela X.2
35,38385876000176,ESTRATEGIA EDUCACIONAL FIDC,Carteira 101,2025-05,25348549.29017303,16459793.48013,4716885.6600359995,4171870.15000703,True,0.0,0.0,0.0,CVM Informe Mensal 2025-05 — Tabela X.2
36,40919667000107,RECARGAPAY I FUNDO DE INVESTIMENTO EM DIREITOS CRE,Carteira 101,2026-06,281538432.34024817,5653715.300042497,0.0,275884717.04020566,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
37,42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIR,Carteira 101,2024-09,35468802.956825234,31728280.556999996,0.0,3740522.3998252363,False,0.0,0.0,4.656612873077393e-10,CVM Informe Mensal 2024-09 — Tabela X.2
38,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PAGSEGURO I,Carteira 101,2026-06,6233925629.525884,2291278482.83,0.0,3942647146.6958838,False,0.0,0.0,-4.76837158203125e-07,CVM Informe Mensal 2026-06 — Tabela X.2
39,38658727000133,FIDC FORNEC MADEIRA MADEIRA I,Carteira 101,2026-06,196699440.04049316,104415788.6302773,0.0,92283651.41021585,False,0.0,0.0,1.4901161193847656e-08,CVM Informe Mensal 2026-06 — Tabela X.2
40,52271464000136,KIWIFY FUNDO DE INVESTIMENTO E,Carteira 101,2026-06,347342248.62347,277311844.60975,0.0,70030404.01372002,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
41,29226654000110,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDI,Carteira 101,2026-06,1193589922.6077209,242977626.1299,0.0,950612296.4778208,False,0.0,0.0,0.0,CVM Informe Mensal 2026-06 — Tabela X.2
