role,participant,offer_volume_brl_current,offers_current,issuers_current,volume_share_current,offer_count_share_current,rank_current,offer_volume_brl_previous,offers_previous,issuers_previous,volume_share_previous,offer_count_share_previous,rank_previous,delta_offer_volume_brl,delta_volume_share_pp,delta_offers,delta_offer_count_share_pp,rank_change,window_previous,window_current,methodology
administrador,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,30000000.0,3.0,3.0,0.00022882999789846818,0.001800720288115246,57.0,2500004.0,1.0,1.0,2.112974577328715e-05,0.0006640106241699867,64.0,27499996.0,0.020770025212518105,2.0,0.11367096639452595,7.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,INTEGRAL ACCESS DTVM LTDA,25000000.0,1.0,1.0,0.00019069166491539016,0.0006002400960384153,58.0,0.0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.019069166491539016,1.0,0.060024009603841535,-58.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,MONETAR DTVM LTDA,25000000.0,2.0,2.0,0.00019069166491539016,0.0012004801920768306,58.0,269000000.0,24.0,16.0,0.0022735570075144854,0.01593625498007968,28.0,-244000000.0,-0.2082865342599095,-22.0,-1.4735774788002851,-30.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA - 48.967.968/0001-18,22500000.0,1.0,1.0,0.00017162249842385112,0.0006002400960384153,60.0,0.0,0.0,0.0,0.0,0.0,0.0,22500000.0,0.01716224984238511,1.0,0.060024009603841535,-60.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS,20000000.0,1.0,1.0,0.0001525533319323121,0.0006002400960384153,61.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.015255333193231212,1.0,0.060024009603841535,-61.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,20000000.0,1.0,1.0,0.0001525533319323121,0.0006002400960384153,61.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.015255333193231212,1.0,0.060024009603841535,-61.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,VORTX DTVM,20000000.0,1.0,1.0,0.0001525533319323121,0.0006002400960384153,61.0,40000000.0,1.0,1.0,0.0003380753914519681,0.0006640106241699867,46.0,-20000000.0,-0.0185522059519656,0.0,-0.006377052813157135,-15.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,BLR TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,18000000.0,1.0,1.0,0.0001372979987390809,0.0006002400960384153,64.0,0.0,0.0,0.0,0.0,0.0,0.0,18000000.0,0.013729799873908089,1.0,0.060024009603841535,-64.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,15700000.0,3.0,3.0,0.000119754365566865,0.001800720288115246,65.0,15000000.0,2.0,2.0,0.00012677827179448804,0.0013280212483399733,54.0,700000.0,-0.0007023906227623031,1.0,0.047269903977527276,-11.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,FINVEST DISTRIBUIDORA DE TITULOS E VALLRES MOBILIARIOS LTDA,15000000.0,2.0,1.0,0.00011441499894923409,0.0012004801920768306,66.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.011441499894923409,2.0,0.12004801920768307,-66.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,SOLIS INVESTIMENTOS LTDA,15000000.0,1.0,1.0,0.00011441499894923409,0.0006002400960384153,66.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.011441499894923409,1.0,0.060024009603841535,-66.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ACTUAL DTVM,14000000.0,1.0,1.0,0.00010678733235261848,0.0006002400960384153,68.0,0.0,0.0,0.0,0.0,0.0,0.0,14000000.0,0.010678733235261847,1.0,0.060024009603841535,-68.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,13500000.0,3.0,3.0,0.00010297349905431067,0.001800720288115246,69.0,0.0,0.0,0.0,0.0,0.0,0.0,13500000.0,0.010297349905431068,3.0,0.18007202881152462,-69.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ACTUALM DTVM S.A,10000000.0,1.0,1.0,7.627666596615605e-05,0.0006002400960384153,70.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.007627666596615606,1.0,0.060024009603841535,-70.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,10000000.0,1.0,1.0,7.627666596615605e-05,0.0006002400960384153,70.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.007627666596615606,1.0,0.060024009603841535,-70.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,ID CORRETORA DE TITULOS E VALORES MOBILIARIO S.A,10000000.0,1.0,1.0,7.627666596615605e-05,0.0006002400960384153,70.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.007627666596615606,1.0,0.060024009603841535,-70.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
administrador,LIONS TRUST DTVM LTDA,10000000.0,1.0,1.0,7.627666596615605e-05,0.0006002400960384153,70.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.007627666596615606,1.0,0.060024009603841535,-70.0,2024-06-01..2025-05-31,2025-06-01..2026-05-31,CVM registered valid primary public distributions
