cnpj_fundo,denominacao,pl_max,competencia_pl_max,competencias_observadas,anbima_tipo,anbima_foco,is_np
41282794000100,FRONTEIRA HIGH YIELD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,3379574.45,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
27500753000112,AS4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PRIVADO,3379520.96,2025-12,"2026-06, 2025-12",Outros,Multicarteira Outros,False
36312154000166,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEBRAE MPE,3357272.76,2023-12,"2026-06, 2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
36083015000108,ENGEBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3310801.53,2024-12,2024-12,Outros,Multicarteira Outros,False
58114447000171,ADIGITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3307568.23,2024-12,"2025-12, 2024-12",N/D,N/D,False
61220673000141,VISION FIDC - CRÉDITOS EM RECUPERAÇÃO JUDICIAL - RESP LIMITADA,3286219.51,2026-06,"2026-06, 2025-12",Outros,Recuperação,False
55626024000142,INSOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,3267142.24,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,False
54760649000130,IMPULSE CREDIT I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,3262346.44,2026-06,"2026-06, 2025-12, 2024-12",Outros,Multicarteira Outros,True
41649884000197,CASA SÃO PAULO MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3260543.76,2023-12,2023-12,Outros,N/D,False
33512487000140,WHITE TIGER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3246060.85,2024-12,"2025-12, 2024-12, 2023-12",Outros,Multicarteira Outros,False
64191286000112,FUNDESTAP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3140352.36,2026-06,"2026-06, 2025-12",Outros,Recuperação,False
41135700000170,E-BANK CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3075291.02,2023-12,2023-12,Outros,N/D,False
26199830000183,SAINT JOHN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS - FIDC-NP,3049592.04,2023-12,2023-12,Outros,N/D,True
