nome,cnpj_prestador,pl,n_veiculos,n_fundos,share_pl,papel,fonte
PATRIMONIAL GESTÃO DE RECURSOS LTDA.,30135282000103,1727950607.47,14,14,0.0018029208345984812,gestor,cadastro_registro_fundo
ARTESANAL AGRO LTDA.,55930185000125,1717452403.4599998,6,6,0.0017919671472339984,gestor,cadastro_registro_fundo
KOBOLD GESTORA DE FUNDOS LTDA,07852196000191,1705586513.38,4,4,0.001779586434293592,gestor,cadastro_registro_fundo
VERDE ASSET MANAGEMENT S.A.,19749539000176,1697983196.05,6,6,0.0017716532334445285,gestor,cadastro_registro_fundo
CULTINVEST ASSET MANAGEMENT LTDA,12160857000158,1654041358.87,10,10,0.0017258049010790838,gestor,cadastro_registro_fundo
MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,1653818133.23,31,31,0.0017255719903955073,gestor,cadastro_registro_fundo
HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.,36040900000100,1633276490.3500001,38,38,0.001704139111605379,gestor,cadastro_registro_fundo
STRATA CAPITAL GESTÃO DE RECURSOS LTDA,43179785000114,1586867338.92,33,33,0.001655716416149001,gestor,cadastro_registro_fundo
B.OND CAPITAL LTDA.,54641866000100,1552167256.28,3,3,0.001619510808370926,gestor,cadastro_registro_fundo
WNT GESTORA DE RECURSOS LTDA,28529686000121,1436306710.37,30,30,0.001498623445487945,gestor,cadastro_registro_fundo
ARTESANAL IMOBILIÁRIO LTDA.,55704616000135,1418933308.87,2,2,0.0014804962678957242,gestor,cadastro_registro_fundo
OLIVEIRA TRUST DTVM S.A.,36113876000191,1408401926.68,4,4,0.0014695079628565713,gestor,cadastro_registro_fundo
ALGARVE CAPITAL GESTÃO DE RECURSOS LTDA.,38481640000133,1375840875.33,20,20,0.0014355341920661551,gestor,cadastro_registro_fundo
SOSU CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,28381802000108,1364512755.78,21,21,0.0014237145817918655,gestor,cadastro_registro_fundo
ORIZ ASSET MANAGEMENT LTDA.,31384260000131,1361091743.66,17,17,0.0014201451429433835,gestor,cadastro_registro_fundo
APUAMA CAPITAL GESTORA DE RECURSOS LTDA,13557425000148,1348286855.76,19,19,0.0014067846920833846,gestor,cadastro_registro_fundo
GUARDIAN GESTORA LTDA.,37414193000137,1323494814.42,12,12,0.0013809170036952552,gestor,cadastro_registro_fundo
SUNO GESTORA DE RECURSOS LTDA,11304223000169,1319568873.5,5,5,0.0013768207288078415,gestor,cadastro_registro_fundo
SRM EMPÍRICA GESTÃO DE CRÉDITO LTDA,10896871000199,1316352831.09,28,28,0.0013734651526467665,gestor,cadastro_registro_fundo
LUMINA CAPITAL MANAGEMENT LTDA.,09500375000195,1261017580.6200001,9,9,0.0013157290833813605,gestor,cadastro_registro_fundo
PÁTRIA INVESTIMENTOS LTDA.,12461756000117,1233033077.7,6,6,0.0012865304227586342,gestor,cadastro_registro_fundo
