competencia,n_admins,hhi_admin,share_top5,share_top10
2021-06,46,0.11139676912949725,0.6339256041393828,0.8013261843957588
2021-07,47,0.12356679799761645,0.6682045166440411,0.8137219820199626
2021-08,47,0.11404732559523174,0.6471786539136196,0.8148601515990339
2021-09,48,0.11323105090872913,0.6453900734721545,0.8101743189293076
2021-10,45,0.12878607316903848,0.6827832777511952,0.8258912941379678
2021-11,45,0.1484736398937885,0.7087132083979055,0.8427020490068071
2021-12,46,0.11507956045493858,0.6685539651986704,0.8148319206712414
2022-01,45,0.11025450730863957,0.6618570273248856,0.817175188763502
2022-02,46,0.10933106556728114,0.6598353912761397,0.8204482753317395
2022-03,43,0.1138247620277695,0.6673016593217421,0.819149082238977
2022-04,44,0.14967495334831316,0.7010159527545133,0.8341827277475091
2022-05,43,0.13145795706923422,0.6833754981861421,0.8219810173346089
2022-06,44,0.11804984852544216,0.6642921543809907,0.8057065695199
2022-07,44,0.10229027691287479,0.6366935534452901,0.7908431936260307
2022-08,44,0.09604817512774459,0.6167802545093042,0.78485772099874
2022-09,43,0.09708226008057866,0.6173718822690826,0.780796595944243
2022-10,43,0.09631989542381747,0.6122381408015302,0.7779134468486872
2022-11,44,0.09876508095651321,0.6145413221041057,0.7855512919497734
2022-12,44,0.09380504534917723,0.6045256397037729,0.7858470924327893
2023-01,44,0.09320846969345532,0.6013279718331075,0.7836563798532242
2023-02,44,0.09193619106348418,0.5959270016731713,0.7798226023938596
2023-03,44,0.09155158456274504,0.5925549483259125,0.7794467822770199
2023-04,43,0.0931453148500283,0.6015463744696395,0.7844112085605902
2023-05,43,0.09199044172137684,0.594934360806729,0.7772252853813434
2023-06,43,0.09233252064769067,0.6034255682746026,0.7805281207880795
2023-07,44,0.09011883990542295,0.5962002533913858,0.7830386045926099
2023-08,43,0.08924676944915096,0.5849782091999208,0.7788068311428227
2023-09,45,0.08888709077079779,0.5795863975805063,0.7770030434036701
2023-10,45,0.08943686801584634,0.5952602184221432,0.7809366554035515
2023-11,45,0.08735025035856098,0.5818239498346369,0.7769518868602591
2023-12,44,0.08432728312279876,0.560482010560595,0.7746732519690419
2024-01,44,0.0834195758439551,0.5626465981289088,0.774789666480807
2024-02,44,0.0829514208100253,0.5519634467082508,0.7647976927985117
2024-03,46,0.08233818764754887,0.548027401951471,0.7572377016348831
2024-04,46,0.08027295672113378,0.5667266838745162,0.7662919844299049
2024-05,49,0.07855217086991503,0.5504321669770073,0.7639104624279642
2024-06,49,0.0785978245599019,0.5442774509170438,0.7569661395071934
2024-07,50,0.08110866051404843,0.579657088507004,0.7770039083387855
2024-08,50,0.08047205977053212,0.5785566341599915,0.7748230832007967
2024-09,50,0.07989353654449742,0.5777014086199292,0.7764703501188827
2024-10,50,0.08159901383924913,0.5917960753051692,0.7775660288841024
2024-11,49,0.08100832189101884,0.5825597558286314,0.769142762084693
2024-12,49,0.07953606162348073,0.5840473640557233,0.7694632962382534
2025-01,50,0.07899240513194944,0.5820848087140374,0.7673567636246841
2025-02,50,0.0772393850402353,0.5717694834130662,0.7612637035581769
2025-03,51,0.07676093540086211,0.5698682479619533,0.7573052527867689
2025-04,51,0.0767679596688349,0.5692807519952675,0.7542121986351364
2025-05,50,0.07618697150866839,0.5670844664206554,0.7519362053470218
2025-06,50,0.07132516535993692,0.5329746679746176,0.7483324454296602
2025-07,50,0.07074808030890062,0.5294270608972286,0.7424488842757
2025-08,50,0.0693926199160118,0.5203137099958766,0.737308583334465
2025-09,50,0.06908609174087915,0.5161244689576457,0.7301226283797481
2025-10,51,0.06959061594860061,0.5188982964268478,0.723833368155011
2025-11,51,0.07291469853960861,0.5325372196083423,0.7415151483575493
2025-12,50,0.07168431549769923,0.5228745095696903,0.7325540245525237
2026-01,50,0.07104576593839057,0.5088852205334836,0.7245469644737567
2026-02,50,0.07241334040930539,0.5147720415150863,0.7219439419796639
2026-03,50,0.07259871731153043,0.5194722411994199,0.7106991529881613
2026-04,51,0.07325508963961656,0.5189600641333467,0.7136391427032448
2026-05,52,0.0741465943815184,0.5236400733760429,0.7127387877380021
2026-06,32,0.16331955553318128,0.6582158732765625,0.8107521223784103
