cnpj,apelido,subordinacao_minima_pct,subordinacao_estrutural_pct,inclui_mezanino,origem,fonte,observacao,responsavel,atualizado_em_utc
43193260000133,RESIDENCE CLUB FIDC,15.0,50.0,True,carteira_101,Regulamento 1044387 · p. 26 · 2025-11-17,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
43309233000183,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS LIVERPOOL,,15.0,True,carteira_101,Regulamento 943032 · p. 30 · 2025-07-09,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
43616659000180,TALO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,25.0,True,carteira_101,Regulamento 791844 · p. 7 · 2024-11-28,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
43866348000179,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS OPEA,5.0,,False,carteira_101,Regulamento 741139 · p. 81 · 2024-09-17,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
44124465000120,TMAQ21 FUNDO I E D CREDITORIOS,3.0,,False,carteira_101,Regulamento 951239 · p. 85 · 2025-07-08,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
44124617000194,CLOUDWALK AKIRA II FUNDO DE INVESTIMENTO EM DIREITO,5.0,5.0,True,carteira_101,Regulamento 851798 · p. 101–102 · 2025-02-28,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
44173467000109,RECEIVABLES 48 FUNDO DE INVEST INSS MEU TUDO,1.0,10.0,True,carteira_101,Regulamento 791513 · p. 19 · 2024-11-28,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
44272584000120,LAVORO AGRO FIDC DAS CADEIAS PRODUTIVAS AGROINDUST,5.0,,False,carteira_101,Regulamento 1003378 · p. 133 · 2025-09-30,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
44574361000117,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS UPL,,15.0,True,carteira_101,Regulamento 928360 · p. 133 · 2025-06-12,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
45523699000102,VIXTRA FUNDO DE INVE E D C RL,10.0,,False,carteira_101,Regulamento 1024756 · p. 26 · 2025-10-30,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
45598747000121,FIDC SUMUP,4.7619,4.7619,True,carteira_101,Regulamento 883977 · p. 95 · 2025-04-22,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
47151680000108,FARM TECH IBBA I FUNDO DE INVESTIMENTO EM DIREITOS,,20.0,True,carteira_101,Regulamento 993922 · p. 6 · 2025-07-22,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
47280025000150,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ALBA,30.0,30.0,True,carteira_101,Regulamento 1074880 · p. 10; 34 · 2025-12-23,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
47425750000179,FIDC CROPFIELD CEREALIS,25.0,,False,carteira_101,Regulamento 1237988 · p. 30 · 2026-07-02,revisto — mínimo júnior calculado de cláusulas contratuais,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
47640584000123,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE,10.0,,False,carteira_101,Regulamento 930974 · p. 91 · 2025-06-13,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
47936340000192,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS OPEA,,25.0,True,carteira_101,Regulamento 801978 · p. 4 · 2025-03-11,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
48946335000123,NAGRO OIKOS FIAGRO FUNDO DE INVESTIMENTO EM DIREI,10.0,,False,carteira_101,Regulamento 1000248 · p. 57 · 2025-09-29,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
48953864000154,FUNDO INVESTIMENTO E D C A II,15.0,15.0,True,carteira_101,Regulamento 774314 · p. 33; 107 · 2024-11-05,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
48967719000122,SOULPAY FIDC,5.0,5.0,True,carteira_101,Regulamento 785770 · p. 82 · 2024-11-22,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
49113994000141,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CAP RESPONSABILIDADE LIMITADA,14.0,,False,carteira_101,Regulamento 788104 · p. 53 · 2024-11-22,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
50089559000108,AGRICONNECTION FIAGRO DIREITOS CREDITORIOS,15.0,,False,carteira_101,Regulamento 999633 · p. 52 · 2025-09-26,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
50098465000103,CHEMICAL XIII FUNDO DE INVESTIMENTO EM DIREITOS,,9.2,True,carteira_101,Regulamento 690567 · p. 15 · 2024-07-01,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
50473039000102,SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,10.0,,False,carteira_101,Regulamento 909547 · p. 99 · 2025-05-19,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
50536324000117,MAQNELSON FUNDO DE INVESTIMENTO EM DIREITOS CREDIT,50.0,50.0,True,carteira_101,Regulamento 918862 · p. 111 · 2025-06-04,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
50832746000130,BOASAFRA FIDC DO AGRONEGOCIO,20.0,30.0,True,carteira_101,Regulamento 791780 · p. 44 · 2024-11-28,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
50857998000113,LEO I FUNDO INV DIR CREDITORIOS,5.0,,False,carteira_101,Regulamento 1017825 · p. 62 · 2025-10-06,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
50988212000105,CARTAO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM,4.5,,False,carteira_101,Regulamento 1013021 · p. 29; 62 · 2024-11-14,revisto — mínimo júnior localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
51554551000138,CLASSE UNICA DO FIDC CREDITO NITRO AGRO RESPONSA,,25.0,True,carteira_101,Regulamento 1261911 · p. 71 · 2026-06-18,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
52100879000147,SOTREQ FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,25.0,True,carteira_101,Regulamento 1117315 · p. 49 · 2026-02-06,revisto — suporte estrutural total localizado,curadoria_documental_carteira_101,2026-08-07T01:49:52+00:00
