competencia,tp_oper,valor
2020-02,Resgates Solicitados,432724573.33
2020-02,Captações no Mês,14706896091.57
2020-02,Amortizações,1182775698.41
2020-03,Amortizações,5753057225.97
2020-03,Captações no Mês,29428444849.92
2020-03,Resgates Solicitados,196209305.83
2020-03,Resgates no Mês,18174353634.27
2020-04,Amortizações,2125005890.31
2020-04,Captações no Mês,15372940416.07
2020-04,Resgates Solicitados,190701506.45
2020-04,Resgates no Mês,24027265003.869995
2020-05,Resgates no Mês,16822930138.48
2020-05,Resgates Solicitados,79936799.17
2020-05,Amortizações,1317524573.7
2020-05,Captações no Mês,14752413472.32
2020-06,Amortizações,1875506226.11
2020-06,Captações no Mês,16180918495.9
2020-06,Resgates Solicitados,89884676.47
2020-06,Resgates no Mês,12908525802.49
2020-07,Resgates no Mês,16413108310.28
2020-07,Resgates Solicitados,189427402.24
2020-07,Captações no Mês,20821277630.29
2020-07,Amortizações,1555160937.52
2020-08,Amortizações,3823585753.46
2020-08,Captações no Mês,21591114496.19
2020-08,Resgates Solicitados,75022400.84
2020-08,Resgates no Mês,18475970691.84
2020-09,Amortizações,3523207080.51
2020-09,Captações no Mês,22012256922.83
2020-09,Resgates Solicitados,223905608.11
2020-09,Resgates no Mês,14966759961.86
2020-10,Resgates no Mês,26602775376.98
2020-10,Resgates Solicitados,142588929.4
2020-10,Amortizações,2227577584.12
2020-10,Captações no Mês,14915577673.34
2020-11,Amortizações,29150483.77247225
2020-11,Captações no Mês,16119313403.24
2020-11,Resgates Solicitados,212449892.23
2020-11,Resgates no Mês,16709750799.66
2020-12,Resgates no Mês,17610138605.690002
2020-12,Resgates Solicitados,113795642.2
2020-12,Captações no Mês,21395646658.69
2020-12,Amortizações,16424335.00949608
2021-01,Amortizações,89937027.60396495
2021-01,Captações no Mês,28078862997.12
2021-01,Resgates Solicitados,12966224.95
2021-01,Resgates no Mês,20890411195.120003
2021-02,Resgates Solicitados,60611941.96
2021-02,Resgates no Mês,12962067827.57
2021-02,Amortizações,4387552.07592816
2021-02,Captações no Mês,18532145953.03
2021-03,Amortizações,3700510.53016676
2021-03,Captações no Mês,31820119276.07
2021-03,Resgates Solicitados,137463763.74
2021-03,Resgates no Mês,14401792042.150002
2021-04,Resgates no Mês,14394822330.09
2021-04,Amortizações,959014359.3071955
2021-04,Captações no Mês,31983795787.500004
2021-04,Resgates Solicitados,54689000.0
2021-05,Resgates Solicitados,40019165.88
2021-05,Resgates no Mês,13814527207.14
2021-05,Amortizações,4006147.77759897
2021-05,Captações no Mês,22981581291.33
2021-06,Amortizações,31418728.45978007
2021-06,Captações no Mês,30337795702.030003
2021-06,Resgates Solicitados,136461321.28
2021-06,Resgates no Mês,12558352970.49
2021-07,Resgates Solicitados,124713122.71
2021-07,Resgates no Mês,20305342634.02
2021-07,Amortizações,41869769.075581074
2021-07,Captações no Mês,33010039158.34
2021-08,Amortizações,32622913.5796306
2021-08,Captações no Mês,30396761914.02
2021-08,Resgates Solicitados,112066238.93
2021-08,Resgates no Mês,35133716869.35
2021-09,Amortizações,10071030.96194833
2021-09,Captações no Mês,22961072157.12
2021-09,Resgates Solicitados,52782986.71
2021-09,Resgates no Mês,17814946218.86
2021-10,Resgates no Mês,23156185329.44
2021-10,Resgates Solicitados,98437640.14
2021-10,Captações no Mês,38643165941.95
2021-10,Amortizações,946190198.54591
2021-11,Amortizações,948050029.3680106
2021-11,Captações no Mês,46000606013.18
2021-11,Resgates Solicitados,226422343.18
2021-11,Resgates no Mês,16931225248.679998
2021-12,Resgates Solicitados,149860563.23000002
2021-12,Resgates no Mês,58069958542.869995
2021-12,Amortizações,39001676.62014971
2021-12,Captações no Mês,32847451833.24
2022-01,Amortizações,4219216.35203364
2022-01,Captações no Mês,21494627982.92
2022-01,Resgates Solicitados,13051226.53
2022-01,Resgates no Mês,23737324765.969997
2022-02,Resgates no Mês,26385201792.76
2022-02,Amortizações,1976210.91867887
2022-02,Captações no Mês,30162038769.43
2022-02,Resgates Solicitados,47267265.56
2022-03,Resgates Solicitados,92511734.88
2022-03,Resgates no Mês,20183684545.53
2022-03,Amortizações,188717936.32359916
2022-03,Captações no Mês,35515935770.0
2022-04,Amortizações,9579178.33418058
2022-04,Captações no Mês,79623547348.42001
2022-04,Resgates Solicitados,175335503.46
2022-04,Resgates no Mês,26342049667.78
2022-05,Resgates Solicitados,44922195.65
2022-05,Resgates no Mês,47640486016.07
2022-05,Amortizações,194617335.23835105
2022-05,Captações no Mês,31506690651.78
2022-06,Amortizações,16647968.07804079
2022-06,Captações no Mês,36656943042.37
2022-06,Resgates Solicitados,125284014.24
2022-06,Resgates no Mês,44857491858.29
2022-07,Resgates no Mês,52954704291.34
2022-07,Amortizações,47925764.399177
2022-07,Captações no Mês,33388670417.8
2022-07,Resgates Solicitados,83051844.77
2022-08,Resgates Solicitados,30406045.58
2022-08,Resgates no Mês,54302332165.02
2022-08,Amortizações,41975331.35041038
2022-08,Captações no Mês,44469146479.65
2022-09,Amortizações,7165732.8096066695
2022-09,Captações no Mês,45034011224.98
2022-09,Resgates Solicitados,100563071.19
2022-09,Resgates no Mês,40187878154.59
2022-10,Amortizações,20702766.74977967
2022-10,Captações no Mês,29495161964.160004
2022-10,Resgates Solicitados,65338180.19
2022-10,Resgates no Mês,26438431511.05
2022-11,Resgates no Mês,17530386255.170002
2022-11,Resgates Solicitados,171244755.12
2022-11,Captações no Mês,34887975056.04
2022-11,Amortizações,39218514.081063
2022-12,Amortizações,10132676.78096046
2022-12,Captações no Mês,43508435140.15
2022-12,Resgates Solicitados,180715043.1
2022-12,Resgates no Mês,39667272793.579994
2023-01,Amortizações,13389679.47845694
2023-01,Captações no Mês,41019359794.86
2023-01,Resgates Solicitados,39434953072.33
2023-01,Resgates no Mês,43675307328.100006
2023-02,Resgates no Mês,20110583758.74
2023-02,Resgates Solicitados,214673631.82
2023-02,Amortizações,60373957.65947002
2023-02,Captações no Mês,22155134835.81
2023-03,Amortizações,20477284.647389967
2023-03,Captações no Mês,26411803534.129997
2023-03,Resgates Solicitados,165833733.86
2023-03,Resgates no Mês,18834060080.93
2023-04,Resgates Solicitados,63669004.17
2023-04,Resgates no Mês,25780852924.92
2023-04,Amortizações,283189476.94294286
2023-04,Captações no Mês,37955954167.03
2023-05,Amortizações,22023962.50664964
2023-05,Captações no Mês,33365374069.54
2023-05,Resgates Solicitados,54474249.37
2023-05,Resgates no Mês,43107893664.560005
2023-06,Resgates no Mês,29328311030.76
2023-06,Amortizações,17491071.91277634
2023-06,Captações no Mês,29598628479.34
2023-06,Resgates Solicitados,164829983.34
2023-07,Resgates no Mês,21722563729.89
2023-07,Resgates Solicitados,90182425.28
2023-07,Amortizações,220202652.4621319
2023-07,Captações no Mês,31596153385.586647
2023-08,Amortizações,381740980.472986
2023-08,Captações no Mês,33659776083.13
2023-08,Resgates Solicitados,138720302.82
2023-08,Resgates no Mês,36380551233.72
2023-09,Resgates no Mês,27750409775.32
2023-09,Resgates Solicitados,170938646.84
2023-09,Amortizações,43171426.21932102
