gap_id,status_lacuna,acao_revisada,responsavel,prazo,notas,updated_at_utc
snapshot_2026-05_55752712000159,pendente,,,,,
snapshot_2026-05_64029467000147,pendente,,,,,
snapshot_2026-05_64112934000106,pendente,,,,,
snapshot_2026-05_59448501000188,pendente,,,,,
snapshot_2026-05_61926527000136,pendente,,,,,
snapshot_2026-05_44302089000116,pendente,,,,,
snapshot_2026-05_63866828000147,pendente,,,,,
snapshot_2026-05_59931773000134,pendente,,,,,
snapshot_2026-05_66598676000137,pendente,,,,,
snapshot_2026-05_59556339000111,pendente,,,,,
snapshot_2026-05_65463011000153,pendente,,,,,
snapshot_2026-05_59987689000132,pendente,,,,,
snapshot_2026-05_58599510000107,pendente,,,,,
snapshot_2026-05_60974918000163,pendente,,,,,
snapshot_2026-05_63655890000190,pendente,,,,,
snapshot_2026-05_28671036000116,pendente,,,,,
snapshot_2026-05_62639652000128,pendente,,,,,
snapshot_2026-05_62958931000154,pendente,,,,,
snapshot_2026-05_63829575000131,pendente,,,,,
snapshot_2026-05_62809011000174,pendente,,,,,
snapshot_2026-05_66032389000165,pendente,,,,,
snapshot_2026-05_62159963000190,pendente,,,,,
snapshot_2026-05_64656407000154,pendente,,,,,
snapshot_2026-05_53808205000164,pendente,,,,,
snapshot_2026-05_62948578000121,pendente,,,,,
snapshot_2026-05_60776251000194,pendente,,,,,
snapshot_2026-05_64127465000190,pendente,,,,,
snapshot_2026-05_63974556000107,pendente,,,,,
snapshot_2026-05_65303945000128,pendente,,,,,
snapshot_2026-05_53942327000149,pendente,,,,,
snapshot_2026-05_13554539000134,pendente,,,,,
snapshot_2026-05_50692376000182,pendente,,,,,
snapshot_2026-05_54760649000130,pendente,,,,,
snapshot_2026-05_55626024000142,pendente,,,,,
snapshot_2026-05_59706599000126,pendente,,,,,
snapshot_2026-05_60306067000180,pendente,,,,,
snapshot_2026-05_64023072000137,pendente,,,,,
snapshot_2026-05_47669160000191,pendente,,,,,
snapshot_2026-05_65426950000128,pendente,,,,,
snapshot_2026-05_64868438000179,pendente,,,,,
snapshot_2026-05_62782703000176,pendente,,,,,
snapshot_2026-05_59871316000100,pendente,,,,,
snapshot_2026-05_61079347000166,pendente,,,,,
snapshot_2026-05_57090601000150,pendente,,,,,
snapshot_2026-05_43236200000150,pendente,,,,,
snapshot_2026-05_65536925000105,pendente,,,,,
snapshot_2026-05_66790149000120,pendente,,,,,
snapshot_2026-05_62359769000158,pendente,,,,,
snapshot_2026-05_62342629000177,pendente,,,,,
snapshot_2026-05_60008909000118,pendente,,,,,
snapshot_2026-05_60617627000118,pendente,,,,,
snapshot_2026-05_65570364000152,pendente,,,,,
snapshot_2026-05_59986514000100,pendente,,,,,
snapshot_2026-05_62348002000123,pendente,,,,,
snapshot_2026-05_57008828000103,pendente,,,,,
snapshot_2026-05_55174856000175,pendente,,,,,
snapshot_2026-05_46450551000158,pendente,,,,,
snapshot_2026-05_55159493000107,pendente,,,,,
snapshot_2026-05_64097712000153,pendente,,,,,
snapshot_2026-05_54462450000125,pendente,,,,,
snapshot_2026-05_66376024000158,pendente,,,,,
snapshot_2026-05_51732995000116,pendente,,,,,
snapshot_2026-05_57691078000117,pendente,,,,,
snapshot_2026-05_61516625000103,pendente,,,,,
snapshot_2026-05_63121566000191,pendente,,,,,
snapshot_2026-05_59201781000125,pendente,,,,,
snapshot_2026-05_63887027000168,pendente,,,,,
