competencia,n_veiculos,n_registros_classe,n_registros_fundo,pl_total,pl_fic_fidc,ativo_total,carteira_dc,dc_inadimplentes,dc_a_vencer_com_parcela_inad,inad_pct,dc_inadimplentes_ajustado,inad_pct_ajustada,carteira_dc_np,inad_pct_ajustada_ex_np,pl_condominio_aberto,pl_condominio_fechado,pl_exclusivo,x4_linhas_descartadas,x4_valor_descartado,captacoes,resgates,amortizacoes,captacao_liquida,cotistas_total,vl_cotas_total,vl_cotas_subordinadas,subordinacao_pct,x2_pl_coberto,vl_recompras,vl_substituicoes,tab4_duplicate_cnpjs,tab4_duplicate_rows_dropped,tab4_type_conflict_cnpjs,tab4_pl_conflict_cnpjs,tab4_class_preferred_cnpjs
2019-12,1042,0,1042,237443419707.87,7459670380.239999,237638793127.68,182228665371.73,36030116366.240005,9221540120.64,0.197719257246064,8262512401.07,0.0453414526425643,12758446910.34,0.0446771031483917,103467484105.89,133936907493.31,20028498206.89,0,0.0,62780281788.32,70580344266.67,1273664093.96,-9073726572.309998,25781,216901043732.0255,60950161219.47447,0.2810044625454937,216304011798.92,737637010.25,0.0,,,,,
2020-01,1052,0,1052,231083445014.66,7641240633.52,230556817164.6,178223565352.61,35517145952.56,8213735486.2,0.1992842297946985,7862643388.54,0.0441167438940187,16379622975.3,0.0427326117826304,96040986682.77,135002689378.5,19846459685.75,3,6673798752000.0,19690667518.34,26378822522.19,1369588084.25,-8057743088.100002,26958,226962911256.3536,72560230214.44174,0.3197008260635381,230421274977.51,718664988.2099999,0.0,,,,,
2020-02,1061,0,1061,236651704396.88,7726471918.35,236318294183.05,181335223238.3,36337751185.85,9030593058.82,0.200389921698208,8464509282.64,0.046678792633224,18884235882.33,0.0475983882705274,93842910818.29,142764647025.8,24144721203.95,1,26315000000.0,14706896091.57,14067293723.69,1182775698.41,-543173330.5300009,28561,232415021092.3604,76898305092.2005,0.3308663301140143,234102976018.45,640321097.25,1350558.01,,,,,
2020-03,1070,0,1070,242883196486.54,7887723729.48,243190071515.51,176760848427.91,36466779046.89,9795150714.01,0.2063057479708951,8845789319.4,0.0500438270016997,18784538436.89,0.0507788593511647,99616449562.7,143221252291.1,24593222105.43,3,2107959964302.24,29428444849.92,18174353634.27,5753057225.97,5501033989.680001,29131,234559925638.22177,79841679489.44962,0.3403892598968293,242029388026.4,870166773.5899999,831184.89,,,,,
2020-04,1077,0,1077,230695668449.15997,8091069415.860002,230599014543.48,168678544107.49,37086149214.52,10098717813.94,0.2198628723691552,9365134758.71,0.0555206046403986,19450145360.48,0.0566450956984443,88781662265.89,141870946770.99,25424783139.67,0,0.0,15372940416.07,24027265003.869995,2125005890.31,-10779330478.109997,28927,223102910234.73505,79140139961.08809,0.354724821284589,226397579008.07,953285882.4,0.0,,,,,
2020-05,1088,0,1088,225973116494.68,7812990461.260002,225152711751.5,158938198390.75,37119130389.99,8914398329.64,0.2335444264866556,9315315902.67,0.0586096734264488,18355337842.26,0.0592408282434786,85690618591.14,140232779090.01,25013286923.48,2,1506079060000.0,14752413472.32,16822930138.48,1317524573.7,-3388041239.8599997,28955,222659503870.2357,84213621878.85324,0.3782170552573059,225561959108.36,839106815.91,15773861.2,,,,,
2020-06,1091,0,1091,225542732796.35004,8579320615.159999,225397460432.16,156752842853.78,33183637705.72,10978849661.75,0.2116940088714939,8628959961.37,0.0550481879899246,20720300267.41,0.0553546930005297,85528235943.74,139964656879.35,26095990363.47,0,0.0,16180918495.9,12908525802.49,1875506226.11,1396886467.3,28777,219573504054.37225,81621762398.76514,0.3717286507326194,220931214555.25,705851879.12,14170358.0,,,,,
2020-07,1115,0,1115,225172200448.61,8492778256.130001,1190340897492.17,152178963821.61,32583199617.210003,9803222331.919998,0.2141110623897089,8018020987.52,0.0526881034419384,22159373846.14,0.0554346988884506,84257433477.03,140860472571.02,24204466475.98,1,999999990000.0,20821277630.29,16413108310.28,1555160937.52,2853008382.49,29817,222495052389.9501,85758599058.06046,0.3854404767066816,224317110439.74,801749565.45,1979042.59,,,,,
2020-08,1129,0,1129,225182168425.62,8338776468.219999,223052548982.75,150635237015.29,33418050352.019997,7963284445.139999,0.2218474973994826,8069067006.849999,0.0535669287394619,22247711117.03,0.0563726445056301,81511375731.56999,143616296427.24,24189756513.77,1,1799999850000.0,21591114496.19,18475970691.84,3823585753.46,-708441949.1100016,31051,223489326163.99527,86498914304.53856,0.3870382348419902,224832061612.81,643401058.07,1226737.73,,,,,
2020-09,1144,0,1144,230111885352.76,8414926525.15,235862391166.27,166112188659.07,32313595544.83,7548887984.6,0.1945287447337816,8239618569.889999,0.0496027331672876,24987550161.8,0.0518085068320755,85110351334.01001,144946602962.09,26659588999.06,1,3318383800000.0,22012256922.83,14966759961.86,3523207080.51,3522289880.4599977,31474,227930923390.88937,86992083515.8237,0.3816598565111629,229999323547.85,621606433.9399999,0.0,,,,,
2020-10,1151,0,1151,217425723839.76,9205350796.569998,223009247951.42,163337021679.94,32134733268.289997,7271966328.34,0.1967388222080981,8047787765.629999,0.0492710573687311,25242831107.76,0.0518379857021453,69967458997.75,147402953594.6,27844258600.47,1,44582265285.85,14915577673.34,26602775376.98,2227577584.12,-13914775287.759998,31890,215128544888.7129,88585611989.65787,0.4117799059882251,216925863608.02,592569956.11,11241590.96,,,,,
2020-11,1198,0,1198,214070335329.26,8156549525.419999,222300251775.71,161404612960.32,15124028277.06,7327308194.08,0.0937025776380884,8085187626.429999,0.0500926676018713,25399530727.01,0.0532157091047836,38490258743.76,175580076585.5,49781624769.81,0,0.0,16119313403.24,16709750799.66,29150483.77247225,-619587880.1924723,32071,210391710497.41855,91292567756.55392,0.4339171326698922,212517073231.97,526049349.53,2473542.75,,,,,
2020-12,1230,0,1230,217765239141.36,8676012592.05,225469715231.17,160172586750.28998,14804282337.7,9178507906.86,0.0924270665665153,7820421100.650001,0.0488249659902295,26979219378.61,0.0512727416788926,60317398540.55,157447840600.81,46437487394.689995,1,724999999928548.0,21395646658.69,17610138605.690002,16424335.00949608,3769083717.9905,32936,215492875892.85236,94471145867.93526,0.4383956800266024,217562364308.59003,607595474.3100001,0.0,,,,,
2021-01,1224,0,1224,216010298710.05005,7038002822.77,223075185691.07,165043370660.90997,33443588587.219997,6935651079.96,0.2026351525256446,8813911317.33,0.0534036070763401,24824502631.13,0.0562605769468525,57952104311.23,158058194398.82,51646485055.189995,0,0.0,28078862997.12,20890411195.120003,89937027.60396495,7098514774.396031,33238,215323534549.12067,102469616161.03123,0.475886745847818,215334134752.37,526798360.47,0.0,,,,,
