rank,commercial_group,legal_entities,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,commercial_signal_brl,confidence_median,sector
84,VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,1,1,30600423.91,33500000.0,64100423.91,0.67,"Atividades financeiras, seguros e serviços relacionados"
85,FRAGATA CREDIT SECURITIZADORA,1,1,21070772.19,40000000.0,61070772.19,0.6,"Atividades financeiras, seguros e serviços relacionados"
86,VIA SERVICOS DE COBRANCAS LTDA,1,1,60610808.3,0.0,60610808.3,0.95,
87,CELETI PROVEDORES BANDA LARGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,1,1,31220664.013333336,28333333.333333332,59553997.346666664,0.67,"Atividades financeiras, seguros e serviços relacionados"
88,MILENIO WAREHOUSE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,1,1,31220664.013333336,28333333.333333332,59553997.346666664,0.76,"Atividades financeiras, seguros e serviços relacionados"
89,QI CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,1,1,31220664.013333336,28333333.333333332,59553997.346666664,0.95,
90,POTI S/A,1,1,25425750.36,28000000.0,53425750.36,0.77,Construção
91,BM COMERCIO DE VEICULOS LTDA,1,1,29448817.408,21000000.0,50448817.408,0.95,
92,FBV PARTICIPACOES S/A,1,1,29448817.408,21000000.0,50448817.408,0.76,Construção
93,NOVA OPCAO LOCADORA DE VEICULOS,1,1,29448817.408,21000000.0,50448817.408,0.95,Atividades administrativas e serviços complementares
94,ONCAR SOLUCOES LTDA,1,1,29448817.408,21000000.0,50448817.408,0.95,
95,TONY VEICULOS,1,1,29448817.408,21000000.0,50448817.408,0.95,
96,PEAK SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A,1,1,9044890.95,40000000.0,49044890.95,0.95,"Atividades financeiras, seguros e serviços relacionados"
97,PERCAPITAL SOCIEDADE DE CREDITO DIRETO S.A,1,1,8466915.37,40000000.0,48466915.37,0.95,"Atividades financeiras, seguros e serviços relacionados"
98,OPS DESENVOLVIMENTO DE NEGOCIOS LTDA,1,1,0.0,43333333.333333336,43333333.333333336,0.95,
99,ORRAM CONSULTORIA LTDA,1,1,0.0,43333333.333333336,43333333.333333336,0.95,"Atividades profissionais, científicas e técnicas"
100,SIFRA SERVICOS DE CREDITO LTDA,1,1,0.0,43333333.333333336,43333333.333333336,0.95,
101,A CEDENTE AMEZIN; E (IV) A GUARANY ADMINISTRADORA DE BENS PROPRIOS LTDA,1,1,21675809.695,13750000.0,35425809.695,0.95,
102,ARAGUAIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,1,1,21675809.695,13750000.0,35425809.695,0.6,"Atividades financeiras, seguros e serviços relacionados"
103,HOAHI TEXTIL,1,1,21675809.695,13750000.0,35425809.695,0.77,
104,STONE INSTITUICAO DE PAGAMENTO S.A,1,1,21675809.695,13750000.0,35425809.695,0.93,"Atividades financeiras, seguros e serviços relacionados"
105,FACIO PAGAMENTOS,1,1,0.0,32852095.51,32852095.51,0.95,"Atividades financeiras, seguros e serviços relacionados"
106,VEDA FINANCE,1,1,0.0,30000000.0,30000000.0,0.6,"Atividades profissionais, científicas e técnicas"
107,EQUATORIAL,1,1,18680315.59,10000000.0,28680315.59,0.67,"Atividades financeiras, seguros e serviços relacionados"
108,CONDOCONTA FINANCE S.A,1,1,0.0,27000000.0,27000000.0,0.68,
109,SERASA S.A,1,1,11982393.84,10000000.0,21982393.84,0.77,"Atividades profissionais, científicas e técnicas"
110,UP VENDAS,1,1,0.0,15000000.0,15000000.0,0.76,Informação e comunicação
111,FISERV DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,1,1,0.0,14996000.0,14996000.0,0.77,Informação e comunicação
112,MAIS TODOS S.A,1,1,0.0,14996000.0,14996000.0,0.95,
113,GP7 JEQUIE DISTRIBUIDOR DE BEBIDAS LTDA,1,1,1770924.8625,9375000.0,11145924.8625,0.95,
114,GP7 MARABA DISTRIBUIDOR DE BEBIDAS LTDA,1,1,1770924.8625,9375000.0,11145924.8625,0.95,
115,GP7 NORDESTE DISTRIBUIDOR DE BEBIDAS LTDA,1,1,1770924.8625,9375000.0,11145924.8625,0.95,
116,GP7 NORTE DISTRIBUIDOR DE BEBIDAS LTDA,1,1,1770924.8625,9375000.0,11145924.8625,0.95,
117,"CLOUDWALK FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",1,1,0.0,8500000.004999999,8500000.004999999,0.76,"Atividades financeiras, seguros e serviços relacionados"
118,CBA,1,1,0.0,7142857.142857143,7142857.142857143,0.6,Indústrias de transformação
119,CBAA- ASFALTOS,1,1,0.0,7142857.142857143,7142857.142857143,0.6,Comércio e reparação de veículos
120,CBAA- ASFALTOS LTDA,1,1,0.0,7142857.142857143,7142857.142857143,0.67,Indústrias de transformação
121,A ABC EQUIPAMENTOS HO SPITALARES LTDA,1,1,5203063.0200000005,0.0,5203063.0200000005,0.95,
122,A GDB COM ERCIO E SERVICOS LTDA,1,1,5203063.0200000005,0.0,5203063.0200000005,0.95,
123,A HEALTH SOLUTIONS COMERCIO E SERVICOS LTD A,1,1,5203063.0200000005,0.0,5203063.0200000005,0.95,
124,"HIGHLIGHT COMERCIO DE TECIDOS, IMPORTACAO E EXPORTACAO LTDA",1,1,2008849.57,3000000.0,5008849.57,0.95,Comércio e reparação de veículos
125,KESH PAGAMENTOS LTDA,1,1,1870637.23,3000000.0,4870637.23,0.77,"Atividades profissionais, científicas e técnicas"
126,SEA BRAZIL IMPORTACAO E EXPORTACAO LTDA,1,1,1904163.72,0.0,1904163.72,0.95,Comércio e reparação de veículos
127,TEXTIL BRASIL,1,1,1904163.72,0.0,1904163.72,0.95,Comércio e reparação de veículos
128,ENCALSO,1,1,0.0,668999.58,668999.58,0.95,
129,BMGFOODS,1,1,0.0,0.0,0.0,0.93,Comércio e reparação de veículos
130,COX AUTOMOTIVE DO BRASIL LTDA,1,1,0.0,0.0,0.0,0.77,
131,OBANCO VOTORANTIM S.A,1,1,0.0,0.0,0.0,0.68,
