priority_rank,review_wave,review_reason,cnpj_emissor,nome_emissor,setor_n1,setor_n2,confidence,linhas_oferta,volume_total_registrado,volume_encerrado_conservador,platform_coverage_level,classification_evidence,expected_primary_docs,review_goal,cnpj,regulamento_count,document_count_total,latest_regulamento_file,latest_regulamento_date,pdf_extraction_status,setor_n1_document,setor_n2_document,setor_n1_final,setor_n2_final,feature_hits_count,feature_hits_share,subordination_main_pct,monocedente_or_multicedente,concentrated_or_pulverized_debtors,manual_review_status
1,Onda 1 - top 50 por volume,confianca_media_alto_volume,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,3000000000.0,3000000000.0,sem_curadoria_local,nome_emissor: regex `\bAUTO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63662224000189,4.0,8.0,data/raw/63662224000189/1059307_regulamento_regulamento_1059307_2025-12-10_2025-12-10.pdf,2025-12-10,cache,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
199,Onda 3 - acima de R$100mm,sem_classificacao_setorial,47425750000179,CEREALIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,3,187000000.0,187000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,47425750000179,17.0,18.0,data/raw/47425750000179/1144221_regulamento_regulamento_1144221_2025-12-29_2025-12-29.pdf,2025-12-29,ok,Agro,Agro,Agro,Agro,11.0,0.7857142857142857,,indeterminado,indeterminado,triagem_documental_forte
200,Onda 3 - acima de R$100mm,sem_classificacao_setorial,55013574000196,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CONSÓRCIOS YELLOWSTONE - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,11,186599986.49,128599986.49,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,55013574000196,5.0,18.0,data/raw/55013574000196/1140267_regulamento_regulamento_1140267_2026-03-06_2026-03-06.pdf,2026-03-06,ok,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,9.0,0.6428571428571429,,indeterminado,indeterminado,regulamento_lido_heuristico
201,Onda 3 - acima de R$100mm,sem_classificacao_setorial,57213492000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CONSÓRCIOS CONSORCIEI III RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,10,185999999.85,185999999.85,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,57213492000110,13.0,18.0,data/raw/57213492000110/1103958_regulamento_regulamento_1103958_2026-02-02_2026-02-02.pdf,2026-02-02,ok,Não classificado,Revisar manualmente,Não classificado,Revisar manualmente,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
202,Onda 3 - acima de R$100mm,sem_classificacao_setorial,62715592000185,CLASSE A DO PÁTRIA CRÉDITO DESENVOLVIMENTO AMAZÔNIA FIDC - RESP. LIMITADA,Não classificado,Revisar manualmente,baixa,1,180000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,62715592000185,8.0,12.0,data/raw/62715592000185/1070926_regulamento_regulamento_1070926_2025-12-26_2025-12-26.pdf,2025-12-26,ok,Crédito PJ,CCB/Notas comerciais/Capital de giro,Crédito PJ,CCB/Notas comerciais/Capital de giro,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
203,Onda 3 - acima de R$100mm,sem_classificacao_setorial,60315773000199,ST 1018 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,176000000.0,176000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,60315773000199,2.0,5.0,data/raw/60315773000199/897170_regulamento_regulamento_897170_2025-05-08_2025-05-08.pdf,2025-05-08,ok,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
204,Onda 3 - acima de R$100mm,sem_classificacao_setorial,61374410000197,NEO CRÉDITO SPECIAL SITUATIONS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,Não classificado,Revisar manualmente,baixa,4,175000000.0,125000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,61374410000197,2.0,12.0,data/raw/61374410000197/946764_regulamento_regulamento_946764_2025-07-14_2025-07-14.pdf,2025-07-14,ok,Agro,Agro,Agro,Agro,9.0,0.6428571428571429,,indeterminado,indeterminado,regulamento_lido_heuristico
205,Onda 3 - acima de R$100mm,sem_classificacao_setorial,64156218000112,ESTANHO CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS- RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,175000000.0,175000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,64156218000112,5.0,12.0,data/raw/64156218000112/1132587_regulamento_regulamento_1132587_2026-03-10_2026-03-10.pdf,2026-03-10,ok,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,8.0,0.5714285714285714,,indeterminado,indeterminado,regulamento_lido_heuristico
206,Onda 3 - acima de R$100mm,sem_classificacao_setorial,47758232000177,SIMPALA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,10,170000000.16,143000000.16,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,47758232000177,14.0,18.0,data/raw/47758232000177/956010_regulamento_regulamento_956010_2025-07-29_2025-07-29.pdf,2025-07-29,ok,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,10.0,0.7142857142857143,,cedente_nomeado,indeterminado,triagem_documental_forte
207,Onda 3 - acima de R$100mm,sem_classificacao_setorial,8315045000167,HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,Não classificado,Revisar manualmente,baixa,2,170000000.0,70000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,,,,,,,,,,,,,,,,sem_documento_local
208,Onda 3 - acima de R$100mm,sem_classificacao_setorial,60741672000180,DLAW FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,2,170000000.0,170000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,60741672000180,5.0,11.0,data/raw/60741672000180/950093_regulamento_regulamento_950093_2025-07-21_2025-07-21.pdf,2025-07-21,ok,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,6.0,0.42857142857142855,,indeterminado,indeterminado,regulamento_lido_heuristico
209,Onda 3 - acima de R$100mm,sem_classificacao_setorial,62604155000194,DAYCOVAL D321 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,1,170000000.0,170000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,62604155000194,2.0,5.0,data/raw/62604155000194/1010259_regulamento_regulamento_1010259_2025-10-09_2025-10-09.pdf,2025-10-09,ok,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
210,Onda 3 - acima de R$100mm,sem_classificacao_setorial,55565510000106,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS TM4,Não classificado,Revisar manualmente,baixa,3,168500000.0,168500000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,55565510000106,5.0,18.0,data/raw/55565510000106/892876_regulamento_regulamento_892876_2025-04-02_2025-04-02.pdf,2025-04-02,ok,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,7.0,0.5,,indeterminado,indeterminado,regulamento_lido_heuristico
211,Onda 3 - acima de R$100mm,sem_classificacao_setorial,57056989000172,LIFT SO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,2,165999997.88,150000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,57056989000172,3.0,7.0,data/raw/57056989000172/978797_regulamento_regulamento_978797_2025-08-20_2025-08-20.pdf,2025-08-20,ok,Infra/Energia,Energia/infra,Infra/Energia,Energia/infra,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
212,Onda 3 - acima de R$100mm,sem_classificacao_setorial,37484246000196,STEP-UP XV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,163620000.0,163620000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,37484246000196,7.0,8.0,data/raw/37484246000196/1008160_regulamento_regulamento_1008160_2025-10-07_2025-10-07.pdf,2025-10-07,ok,Agro,Agro,Agro,Agro,9.0,0.6428571428571429,,cedente_nomeado,indeterminado,regulamento_lido_heuristico
213,Onda 3 - acima de R$100mm,sem_classificacao_setorial,56780135000171,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PRATA DIGITAL IV,Não classificado,Revisar manualmente,baixa,1,163300000.0,163300000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,56780135000171,2.0,12.0,data/raw/56780135000171/735649_regulamento_regulamento_735649_2024-09-10_2024-09-10.pdf,2024-09-10,ok,Crédito PF,FGTS,Crédito PF,FGTS,12.0,0.8571428571428571,,indeterminado,devedor_nomeado,triagem_documental_forte
214,Onda 3 - acima de R$100mm,sem_classificacao_setorial,55125894000138,MTR CRÉDITOS SELECIONADOS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,7,160500006.28,160500006.28,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,55125894000138,6.0,18.0,data/raw/55125894000138/1124389_regulamento_regulamento_1124389_2026-02-27_2026-02-27.pdf,2026-02-27,ok,Crédito PJ,Risco sacado/fornecedores,Crédito PJ,Risco sacado/fornecedores,9.0,0.6428571428571429,,indeterminado,concentrado,regulamento_lido_heuristico
215,Onda 3 - acima de R$100mm,sem_classificacao_setorial,58533096000133,RAYO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,5,160000000.18000004,127000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,58533096000133,3.0,13.0,data/raw/58533096000133/1066384_regulamento_regulamento_1066384_2025-12-11_2025-12-11.pdf,2025-12-11,ok,Agro,Agro,Agro,Agro,14.0,1.0,,cedente_nomeado,devedor_nomeado,triagem_documental_forte
216,Onda 3 - acima de R$100mm,sem_classificacao_setorial,53109835000140,ALGARVE COFFEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,160000000.01,160000000.01,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,53109835000140,6.0,12.0,data/raw/53109835000140/807198_regulamento_regulamento_807198_2024-12-19_2024-12-19.pdf,2024-12-19,ok,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,10.0,0.7142857142857143,,indeterminado,concentrado,triagem_documental_forte
217,Onda 3 - acima de R$100mm,sem_classificacao_setorial,54705382000188,CASHGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,4,158000000.13,158000000.13,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,54705382000188,8.0,18.0,data/raw/54705382000188/997193_regulamento_regulamento_997193_2025-09-19_2025-09-19.pdf,2025-09-19,ok,Crédito PJ,Recebíveis comerciais/multissetorial,Crédito PJ,Recebíveis comerciais/multissetorial,9.0,0.6428571428571429,,indeterminado,indeterminado,regulamento_lido_heuristico
218,Onda 3 - acima de R$100mm,sem_classificacao_setorial,45121220000101,MAIS TODOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,5,156000000.13,126000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,45121220000101,11.0,18.0,data/raw/45121220000101/989447_regulamento_regulamento_989447_2025-09-10_2025-09-10.pdf,2025-09-10,ok,Meios de Pagamento e Cartões,Bancos Emissores,Meios de Pagamento e Cartões,Bancos Emissores,11.0,0.7857142857142857,,indeterminado,indeterminado,triagem_documental_forte
219,Onda 3 - acima de R$100mm,sem_classificacao_setorial,46390255000109,CULTURA AGROMAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,6,155000007.6,155000007.6,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,46390255000109,17.0,18.0,data/raw/46390255000109/845011_regulamento_regulamento_845011_2025-02-17_2025-02-17.pdf,2025-02-17,ok,Agro,Agro,Agro,Agro,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
220,Onda 3 - acima de R$100mm,sem_classificacao_setorial,54773936000184,TALO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,3,155000000.0,95000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,54773936000184,5.0,15.0,data/raw/54773936000184/813760_regulamento_regulamento_813760_2024-12-30_2024-12-30.pdf,2024-12-30,ok,Agro,Agro,Agro,Agro,9.0,0.6428571428571429,,cedente_nomeado,indeterminado,regulamento_lido_heuristico
221,Onda 3 - acima de R$100mm,sem_classificacao_setorial,58557938000197,JVD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,2,155000000.0,150000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,58557938000197,2.0,2.0,data/raw/58557938000197/857792_regulamento_regulamento_857792_2025-03-06_2025-03-06.pdf,2025-03-06,ok,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,9.0,0.6428571428571429,,multicedente,indeterminado,regulamento_lido_heuristico
222,Onda 3 - acima de R$100mm,sem_classificacao_setorial,63863686000164,ORIZ JURI LC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,151000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63863686000164,10.0,18.0,data/raw/63863686000164/1210580_regulamento_regulamento_1210580_2026-06-02_2026-06-02.pdf,2026-06-02,ok,Crédito PF,Auto/Veículos,Crédito PF,Auto/Veículos,9.0,0.6428571428571429,,cedente_nomeado,concentrado,regulamento_lido_heuristico
223,Onda 3 - acima de R$100mm,sem_classificacao_setorial,63428693000138,AVEIRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,150000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63428693000138,1.0,2.0,data/raw/63428693000138/1028761_regulamento_regulamento_1028761_2025-09-23_2025-09-23.pdf,2025-09-23,ok,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,9.0,0.6428571428571429,,indeterminado,devedor_nomeado,regulamento_lido_heuristico
224,Onda 3 - acima de R$100mm,sem_classificacao_setorial,63212950000108,GENIAL SPECIAL SITUATIONS I CLASSE DE NVESTIMENTOS EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,150000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,63212950000108,1.0,3.0,data/raw/63212950000108/1018213_regulamento_regulamento_1018213_2025-10-15_2025-10-15.pdf,2025-10-15,ok,Agro,Agro,Agro,Agro,9.0,0.6428571428571429,,monocedente,concentrado,regulamento_lido_heuristico
225,Onda 3 - acima de R$100mm,sem_classificacao_setorial,61995584000177,ARTESANAL EB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,3,150000000.0,150000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,61995584000177,2.0,9.0,data/raw/61995584000177/1093212_regulamento_regulamento_1093212_2026-01-26_2026-01-26.pdf,2026-01-26,ok,Crédito PJ,Risco sacado/fornecedores,Crédito PJ,Risco sacado/fornecedores,7.0,0.5,,indeterminado,indeterminado,regulamento_lido_heuristico
226,Onda 3 - acima de R$100mm,sem_classificacao_setorial,61709339000156,FIDC MDR II HIGH GRADE RECEBIVEIS DE CREDENCIADORAS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,150000000.0,150000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,61709339000156,2.0,7.0,data/raw/61709339000156/1029892_regulamento_regulamento_1029892_2025-11-04_2025-11-04.pdf,2025-11-04,ok,Agro,Agro,Agro,Agro,11.0,0.7857142857142857,,cedente_nomeado,concentrado,triagem_documental_forte
227,Onda 3 - acima de R$100mm,sem_classificacao_setorial,60647052000186,NEW TRADE CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,150000000.0,150000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,60647052000186,6.0,13.0,data/raw/60647052000186/1127097_regulamento_regulamento_1127097_2026-03-03_2026-03-03.pdf,2026-03-03,ok,Não classificado,Revisar manualmente,Não classificado,Revisar manualmente,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
228,Onda 3 - acima de R$100mm,sem_classificacao_setorial,60775422000160,SANTOS DUMONT REAL ESTATE FI EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,1,150000000.0,150000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,60775422000160,0.0,7.0,,,sem_regulamento,Não classificado,Revisar manualmente,Não classificado,Revisar manualmente,0.0,0.0,,indeterminado,indeterminado,sem_documento_local
229,Onda 3 - acima de R$100mm,sem_classificacao_setorial,59900616000161,GALAPAGOS SANTA HELENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,150000000.0,150000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,59900616000161,6.0,11.0,data/raw/59900616000161/1022569_regulamento_regulamento_1022569_2025-10-01_2025-10-01.pdf,2025-10-01,ok,Crédito PF,Crédito pessoal/consumo,Crédito PF,Crédito pessoal/consumo,9.0,0.6428571428571429,,indeterminado,indeterminado,regulamento_lido_heuristico
230,Onda 3 - acima de R$100mm,sem_classificacao_setorial,58901484000120,KOVR ASSISTENCIA FINANCEIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,150000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,58901484000120,5.0,9.0,data/raw/58901484000120/864840_regulamento_regulamento_864840_2025-03-26_2025-03-26.pdf,2025-03-26,ok,Não classificado,Revisar manualmente,Não classificado,Revisar manualmente,0.0,0.0,,indeterminado,indeterminado,regulamento_lido_heuristico
231,Onda 3 - acima de R$100mm,sem_classificacao_setorial,56265097000119,ORIZ JUS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,1,150000000.0,150000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão,56265097000119,6.0,9.0,data/raw/56265097000119/883291_regulamento_regulamento_883291_2025-04-17_2025-04-17.pdf,2025-04-17,ok,Infra/Energia,Energia/infra,Infra/Energia,Energia/infra,1.0,0.07142857142857142,,indeterminado,indeterminado,regulamento_lido_heuristico
