cnpj,document_classification,source_file,file_name,document_date,file_size_bytes
08692888000182,assembleia,data/raw/08692888000182/306313_assembleia_assembleia_306313_2022-05-13.pdf,306313_assembleia_assembleia_306313_2022-05-13.pdf,2022-05-13,1275280
08692888000182,outro,data/raw/08692888000182/307400_outro_outro_307400_2022-05-13.pdf,307400_outro_outro_307400_2022-05-13.pdf,2022-05-13,290856
08692888000182,assembleia,data/raw/08692888000182/321444_assembleia_assembleia_321444_2022-06-17.pdf,321444_assembleia_assembleia_321444_2022-06-17.pdf,2022-06-17,741789
08692888000182,outro,data/raw/08692888000182/338603_outro_outro_338603_2022-06-01.pdf,338603_outro_outro_338603_2022-06-01.pdf,2022-06-01,320254
08692888000182,outro,data/raw/08692888000182/340901_outro_outro_340901_2022-08-15.pdf,340901_outro_outro_340901_2022-08-15.pdf,2022-08-15,299133
08692888000182,assembleia,data/raw/08692888000182/375104_assembleia_assembleia_375104_2022-11-04.pdf,375104_assembleia_assembleia_375104_2022-11-04.pdf,2022-11-04,750698
08692888000182,outro,data/raw/08692888000182/376034_outro_outro_376034_2022-09-01.pdf,376034_outro_outro_376034_2022-09-01.pdf,2022-09-01,359016
08692888000182,outro,data/raw/08692888000182/377785_outro_outro_377785_2022-11-14.pdf,377785_outro_outro_377785_2022-11-14.pdf,2022-11-14,301100
08692888000182,outro,data/raw/08692888000182/415639_outro_outro_415639_2022-12-01.pdf,415639_outro_outro_415639_2022-12-01.pdf,2022-12-01,373537
08692888000182,assembleia,data/raw/08692888000182/417599_assembleia_assembleia_417599_2023-02-08.pdf,417599_assembleia_assembleia_417599_2023-02-08.pdf,2023-02-08,597203
08692888000182,outro,data/raw/08692888000182/425038_outro_outro_425038_2023-02-13.pdf,425038_outro_outro_425038_2023-02-13.pdf,2023-02-13,287937
08692888000182,outro,data/raw/08692888000182/437899_outro_outro_437899_2022-12-31.pdf,437899_outro_outro_437899_2022-12-31.pdf,2022-12-31,361180
08692888000182,outro,data/raw/08692888000182/461578_outro_outro_461578_2023-03-01.pdf,461578_outro_outro_461578_2023-03-01.pdf,2023-03-01,1130243
08692888000182,outro,data/raw/08692888000182/467344_outro_outro_467344_2023-02-09.pdf,467344_outro_outro_467344_2023-02-09.pdf,2023-02-09,204463
08692888000182,assembleia,data/raw/08692888000182/470940_assembleia_assembleia_470940_2023-05-30.pdf,470940_assembleia_assembleia_470940_2023-05-30.pdf,2023-05-30,763098
08692888000182,assembleia,data/raw/08692888000182/489167_assembleia_assembleia_489167_2023-07-06.pdf,489167_assembleia_assembleia_489167_2023-07-06.pdf,2023-07-06,793191
08692888000182,outro,data/raw/08692888000182/505650_outro_outro_505650_2023-08-10.pdf,505650_outro_outro_505650_2023-08-10.pdf,2023-08-10,290658
08692888000182,outro,data/raw/08692888000182/507747_outro_outro_507747_2023-06-01.pdf,507747_outro_outro_507747_2023-06-01.pdf,2023-06-01,406880
08692888000182,outro,data/raw/08692888000182/553607_outro_outro_553607_2023-09-01.pdf,553607_outro_outro_553607_2023-09-01.pdf,2023-09-01,408332
08692888000182,outro,data/raw/08692888000182/556393_outro_outro_556393_2023-11-09.pdf,556393_outro_outro_556393_2023-11-09.pdf,2023-11-09,299942
08692888000182,assembleia,data/raw/08692888000182/572756_assembleia_assembleia_572756_2023-12-15.pdf,572756_assembleia_assembleia_572756_2023-12-15.pdf,2023-12-15,669317
08692888000182,outro,data/raw/08692888000182/584741_outro_outro_584741_2024-01-10.pdf,584741_outro_outro_584741_2024-01-10.pdf,2024-01-10,164767
08692888000182,outro,data/raw/08692888000182/594339_outro_outro_594339_2023-12-31.pdf,594339_outro_outro_594339_2023-12-31.pdf,2023-12-31,1083833
08692888000182,outro,data/raw/08692888000182/600562_outro_outro_600562_2023-12-01.pdf,600562_outro_outro_600562_2023-12-01.pdf,2023-12-01,329972
08692888000182,assembleia,data/raw/08692888000182/618154_assembleia_assembleia_618154_2024-02-28.pdf,618154_assembleia_assembleia_618154_2024-02-28.pdf,2024-02-28,2539053
08692888000182,outro,data/raw/08692888000182/657461_outro_outro_657461_2024-01-11.pdf,657461_outro_outro_657461_2024-01-11.pdf,2024-01-11,168717
08692888000182,outro,data/raw/08692888000182/662985_outro_outro_662985_2024-03-01.pdf,662985_outro_outro_662985_2024-03-01.pdf,2024-03-01,324642
08692888000182,assembleia,data/raw/08692888000182/681677_assembleia_assembleia_681677_2024-06-12.pdf,681677_assembleia_assembleia_681677_2024-06-12.pdf,2024-06-12,2744381
08692888000182,outro,data/raw/08692888000182/717944_outro_outro_717944_2024-06-01.pdf,717944_outro_outro_717944_2024-06-01.pdf,2024-06-01,332140
08692888000182,outro,data/raw/08692888000182/717978_outro_outro_717978_2024-07-29.pdf,717978_outro_outro_717978_2024-07-29.pdf,2024-07-29,311951
08692888000182,assembleia,data/raw/08692888000182/731389_assembleia_assembleia_731389_2024-09-03.pdf,731389_assembleia_assembleia_731389_2024-09-03.pdf,2024-09-03,124763
08692888000182,assembleia,data/raw/08692888000182/737755_assembleia_assembleia_737755_2024-09-10.pdf,737755_assembleia_assembleia_737755_2024-09-10.pdf,2024-09-10,478982
08692888000182,regulamento,data/raw/08692888000182/737756_regulamento_regulamento_737756_2024-09-10.pdf,737756_regulamento_regulamento_737756_2024-09-10.pdf,2024-09-10,7330636
08692888000182,assembleia,data/raw/08692888000182/763229_assembleia_assembleia_763229_2024-10-17.pdf,763229_assembleia_assembleia_763229_2024-10-17.pdf,2024-10-17,2461581
08692888000182,regulamento,data/raw/08692888000182/772010_regulamento_regulamento_772010_2024-11-05.pdf,772010_regulamento_regulamento_772010_2024-11-05.pdf,2024-11-05,8537857
