grupo,fundo,nome_curto,cnpj,data_referencia,categoria,tipo_documento,documento_id,source_file,arquivo_local_existe,page_count,categorias_com_evidencia,paginas_com_evidencia,amostra_trecho,status_auditoria
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,18/12/2023 23:59,assembleia,AGO,572987,data/raw/28472333000132/572987_assembleia_assembleia_572987_2023-12-18.pdf,True,1.0,alteracoes_assembleias: 1; cotistas_partes_relacionadas: 1; governanca_operacional: 1,1,"...SULTA FORMAL DO Prezados Senhores(as) Cotistas, A Consulta Formal convocou os Cotistas a manifestarem-se a respeito da seguinte matéria: i. Deliberar sobre a aprovação das contas e demonstrações contábeis do Fundo, relativas ao exercício social findo em , devidamente auditadas, conforme disponíveis para consulta nos sites da Administradora e nos demais canais exigidos pela regulamentação em vigor. restou a Consulta Formal a Consulta Formal , que deliberou pela matéria constante na Ordem do Dia. Sendo o que nos cumpria ao momento, permanecemos à disposição para esclarecer eventuais dúvidas adicionais que se façam necessárias. Atenciosamente, Mercado CREDITO FIDC Mercado CREDITO FIDC 28.472.333/0001-32 28.472.333/0001-32 18/12/2023 Mercado CREDITO FIDC Mercado CREDITO FIDC A , sociedade devidamente autorizada pela CVM, com sede na cidade de São Paulo, na Rua Gilberto Sabino, n.º 215, 4º andar, CEP ...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2023,outro,Relatório de Agência de Rating,607607,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,31/12/2023,outro,Demonstrações Financeiras,643226,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2024,outro,Informe Trimestral,653128,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28/03/2024,outro,Relatório de Agência de Rating,664505,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2024,outro,Informe Trimestral,714174,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,15/06/2024 23:59,assembleia,AGE,674485,data/raw/28472333000132/674485_assembleia_assembleia_674485_2024-06-15.pdf,True,4.0,alteracoes_assembleias: 1; cotistas_partes_relacionadas: 4; direitos_creditorios_cessoes: 2; governanca_operacional: 4,"1, 2, 3, 4","...nistradora e à Gestora, seus sócios, diretores e funcionários; (d) os prestadores de serviços do Fundo, seus sócios, diretores e funcionários; (e) o cotista cujo interesse seja conflitante com o do Fundo; e (f) o cotista, na hipótese de deliberação relativa a laudos de avaliação de bens de sua propriedade que concorram para a formação do patrimônio do Fundo; e (iv) os Cotistas deverão informar à Administradora qualquer situação que os coloque em conflito de interesses em relação a qualquer matéria objeto de deliberação por meio da presente Consulta Formal, ficando tais Cotistas impedidos de votar nas matérias relacionadas ao objeto do conflito de interesses, enquanto permanecer o conflito. Não se aplica a vedação prevista no inciso (iii) quando: (a) os únicos cotistas do Fundo forem tais pessoas; ou (b) houver aquiescência expressa da maioria dos demais cotistas, manifestada na própria assembleia, ou em instr...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,17/06/2024 10:00,assembleia,AGO,681860,data/raw/28472333000132/681860_assembleia_assembleia_681860_2024-06-17.pdf,True,1.0,alteracoes_assembleias: 1; cotistas_partes_relacionadas: 1; direitos_creditorios_cessoes: 1; governanca_operacional: 1,1,"...SULTA FORMAL DO Prezados Senhores(as) Cotistas, A Consulta Formal convocou os Cotistas a manifestarem-se a respeito da seguinte matéria: i. Deliberar sobre a aprovação das contas e demonstrações contábeis do Fundo, relativas ao exercício social findo em , devidamente auditadas, conforme disponíveis para consulta nos sites da Administradora e nos demais canais exigidos pela regulamentação em vigor. restou a Consulta Formal a Consulta Formal , que deliberou pela matéria constante na Ordem do Dia. Sendo o que nos cumpria ao momento, permanecemos à disposição para esclarecer eventuais dúvidas adicionais que se façam necessárias. Atenciosamente, Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios 28.472.333/0001-32 28.472.333/0001-32 17/06/2024 Mercado Crédito Merchant Fundo de Mercado Crédito Merchant Fundo de I...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28/06/2024,outro,Relatório de Agência de Rating,709466,,False,,,,,Inventariado sem PDF local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024 10:00,assembleia,AGE,732139,data/raw/28472333000132/732139_assembleia_assembleia_732139_2024-09-03.pdf,True,100.0,alteracoes_assembleias: 5; amortizacao: 5; cotistas_partes_relacionadas: 5; direitos_creditorios_cessoes: 5; emissoes: 5; governanca_operacional: 5; performance_risco: 5; preco_economia: 5; triggers_protecao: 5,"1, 11, 12, 14, 16, 2, 20, 21, 22, 23, 25, 3, 33, 4, 6, 63, 7, 9","1 MERCADO CRÉDITO MERCHANT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CNPJ/MF nº 28.472.333/0001-32 ATA DA ASSEMBLEIA GERAL EXTRAORDINÁRIA DE COTISTAS REALIZADA EM 03 DE SETEMBRO DE 2024. 1. DATA, HORA E LOCAL: Realizada aos 03 de setembro de 2024, às 10h00, na sede da VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA., instituição administradora (“Administradora”) do MERCADO CRÉDITO MERCHANT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, inscrito no CNPJ/MF sob o nº 28.472.333/0001-32 (“Fundo”). 2. CONVOCAÇÃO: dispensada a convocação, nos termos do art...",PDF analisado
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024,regulamento,Regulamento,732140,data/raw/28472333000132/732140_regulamento_regulamento_732140_2024-09-03.pdf,True,95.0,alteracoes_assembleias: 5; amortizacao: 5; cotistas_partes_relacionadas: 5; direitos_creditorios_cessoes: 5; emissoes: 5; governanca_operacional: 5; performance_risco: 5; preco_economia: 5; triggers_protecao: 5,"1, 11, 14, 15, 16, 17, 18, 2, 20, 28, 3, 4, 5, 58, 6, 7, 8, 9",Nom propried e do d cumento desconhec o REGULAMENTO DO “MERCADO CRÉDITO MERCHANT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – NÃO PADRONIZADO” Datado de 03 de setembro,PDF analisado
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,12/2020,outro,Informe Trimestral,149747,,False,,,,,Inventariado sem PDF local
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,31/12/2020,outro,Demonstrações Financeiras,259351,,False,,,,,Inventariado sem PDF local
