participant_type,participant_normalized,cnpj_participante,funds,linked_pl_brl,confidence_median,sector
cedente_originador,ECO CONSULT - CONSULTORIA DE OPERACOES FINANCEIRAS AGROPECUARIAS LTDA,17118468000188.0,1,49021090.41,0.95,
cedente_originador,HDN COMERCIAL IMPORTADORA E EXPORTADORA LTDA,26494854000165.0,1,46647257.95,0.95,Comércio e reparação de veículos
cedente_originador,CEDENTES METALFRIO SOLUTIONS S.A,4821041000108.0,1,43446011.65,0.84,
cedente_originador,WWW.SINGULARE.COM.BR CEDENTES METALFRIO SOLUTIONS S.A,4821041000108.0,1,43446011.65,0.84,
cedente_originador,INSTITUTO DE SAUDE ESPERANCA,21562855000186.0,1,42088677.57,0.95,Saúde humana e serviços sociais
cedente_originador,"(I) PARATI CREDITO, FINANCIAMENTO E INVESTIMENTO S.A",3311443000191.0,1,33297040.2,0.95,
cedente_originador,VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,26722650000134.0,1,30600423.91,0.67,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,LOOMY,44448885000161.0,1,30063693.43,0.95,Informação e comunicação
cedente_originador,JURI ATIVOS JUDICIAIS S.A,,1,27942963.49,0.68,
cedente_originador,TARGET,2013667000154.0,1,27546482.89,0.76,Comércio e reparação de veículos
cedente_originador,E A FPW SECURITIZADORA DE CREDITOS S.A,,1,25641520.08,0.68,
cedente_originador,POTI S/A,859542000114.0,1,25425750.36,0.77,Construção
cedente_originador,FRAGATA CREDIT SECURITIZADORA,51136842000106.0,1,21070772.19,0.6,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,EQUATORIAL,42150987000170.0,1,18680315.59,0.67,"Atividades financeiras, seguros e serviços relacionados"
cedente_originador,BASF S.A,48539407000118.0,1,17479532.25,0.95,
cedente_originador,(“OPINIAO ASSESSORIA ”); (II) SIFRA SERVICOS DE CREDITO LTDA,8260999000110.0,1,16633472.61,0.95,
cedente_originador,(“OPINIAO ASSESSORIA”); (II) OPS – DESENVOLVIMENTO DE NEGOCIOS LTDA,8411164000113.0,1,16633472.61,0.95,
cedente_originador,(“SIFRA SERVICOS DE CREDITO ”); (III) OPS – DESENVOLVIMENTO DE NEGOCIOS LTDA,8411164000113.0,1,16633472.61,0.95,
cedente_originador,(“SIFRA SERVICOS DE CREDITO ”); E (III) OPS – DESENVOLVIMENTO DE NEGOCIOS LTDA,8411164000113.0,1,16633472.61,0.95,
cedente_originador,ORRAM CONSULTORIA LTDA,46040380000199.0,1,16633472.61,0.95,"Atividades profissionais, científicas e técnicas"
cedente_originador,INCLUINDO SUAS FILIAIS ; (II) A GDB COM ERCIO E SERVICOS LTDA,23813386000156.0,1,15609189.06,0.95,
cedente_originador,INCLUINDO SUAS FILIAIS ; (III) A ABC EQUIPAMENTOS HO SPITALARES LTDA,40014621000149.0,1,15609189.06,0.95,
cedente_originador,INCLUINDO SUAS FILIAIS ; (IV) A HEALTH SOLUTIONS COMERCIO E SERVICOS LTD A,27476124000102.0,1,15609189.06,0.95,
cedente_originador,INCLUINDO SUAS FILIAIS ; (IV) A HEALTH SOLUTIONS COMERCIO E SERVICOS LTDA,27476124000102.0,1,15609189.06,0.95,
cedente_originador,QI TECH,30620610000159.0,1,14447639.5,0.84,Informação e comunicação
