rank_excesso,competencia,cnpj_veiculo,cnpj_fundo,cnpj_formatado,cnpj_fundo_formatado,denominacao,pl,carteira_dc,dc_inadimplentes,dc_inadimplentes_ajustado_recalculado,excesso_removido_ajuste,share_excesso,share_excesso_acumulado,is_np,report_flag_source
67,2026-05,57354123000148,57354123000148,57.354.123/0001-48,57.354.123/0001-48,BLIPAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO - RESPONSABILIDADE LIMITADA,112081223.01,87770661.88,118709041.94,87770661.88,30938380.060000002,0.0021221583884929343,0.9263468340358179,False,campo_bruto_CVM_reprocessado
68,2026-05,58341346000133,58341346000133,58.341.346/0001-33,58.341.346/0001-33,SOLAR MONT BLANC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5068429.78,5373863.85,35824786.36,5373863.85,30450922.509999998,0.0020887221799144456,0.9284355562157323,False,campo_bruto_CVM_reprocessado
69,2026-05,53624183000182,53624183000182,53.624.183/0001-82,53.624.183/0001-82,PAGEDU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,37145781.44,29973348.48,59859815.06,29973348.48,29886466.580000002,0.002050004416267448,0.9304855606319997,False,campo_bruto_CVM_reprocessado
70,2026-05,55693852000101,55693852000101,55.693.852/0001-01,55.693.852/0001-01,MÓDENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,35725627.41,0.0,28304778.1,0.0,28304778.1,0.0019415115517637126,0.9324270721837634,True,campo_bruto_CVM_reprocessado
71,2026-05,12400426000111,12400426000111,12.400.426/0001-11,12.400.426/0001-11,MOKA FUND I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,30575316.08,27153579.38,53520280.870000005,27153579.38,26366701.490000006,0.0018085729322407406,0.9342356451160042,False,campo_bruto_CVM_reprocessado
72,2026-05,10896292000146,10896292000146,10.896.292/0001-46,10.896.292/0001-46,INCENTIVO MULTISETORIAL I - FIDC,4123941.82,0.0,26279290.3,0.0,26279290.3,0.001802577130594148,0.9360382222465984,False,campo_bruto_CVM_reprocessado
73,2026-05,60261285000146,60261285000146,60.261.285/0001-46,60.261.285/0001-46,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LEIRIA - RESPONSABILIDADE LIMITADA,-108427.75,0.0,25833121.53,0.0,25833121.53,0.0017719730460847836,0.9378101952926832,False,campo_bruto_CVM_reprocessado
74,2026-05,44177436000126,44177436000126,44.177.436/0001-26,44.177.436/0001-26,GALAXY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,371783599.43,290788336.33,316107741.31,290788336.33,25319404.98000002,0.0017367356521496174,0.9395469309448328,False,campo_bruto_CVM_reprocessado
75,2026-05,40794358000158,40794358000158,40.794.358/0001-58,40.794.358/0001-58,AUTO LOANS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1495045.52,1188966.55,25271490.2,1188966.55,24082523.65,0.0016518941677234984,0.9411988251125563,False,campo_bruto_CVM_reprocessado
76,2026-05,43104380000117,43104380000117,43.104.380/0001-17,43.104.380/0001-17,MIXTEL MULTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,-468739.32,0.0,23732160.58,0.0,23732160.58,0.0016278616900508895,0.9428266868026072,False,campo_bruto_CVM_reprocessado
