competencia,tipo_recebivel_tabela_ii,fundos_incluidos_coorte_anterior,pl_incluido_brl_coorte_anterior,carteira_incluida_brl_coorte_anterior,inadimplencia_sobre_carteira_coorte_anterior,fundos_incluidos_coorte_atual,pl_incluido_brl_coorte_atual,carteira_incluida_brl_coorte_atual,inadimplencia_sobre_carteira_coorte_atual,delta_inadimplencia_pp,competencia_coorte_anterior,competencia_coorte_atual
2014-05,Comercial,6,2894110533.03,2484748765.04,0.001482174810514782,5,2398298127.21,2090107184.98,0.0017620302233616028,0.0002798554128468208,2026-05,2026-06
2014-05,Financeiro,19,997456893.1,938522789.6700001,0.01702014815816742,21,1264270049.0,1097660127.31,0.08624943655556752,0.0692292883974001,2026-05,2026-06
2014-05,Imobiliário,1,4498846.15,4386742.56,0.005942279411992666,1,4498846.15,4386742.56,0.005942279411992666,0.0,2026-05,2026-06
2014-05,Industrial,1,23189960401.19,22006113502.04,0.0,1,23189960401.19,22006113502.04,0.0,0.0,2026-05,2026-06
2014-05,Serviços,7,2580232083.5,2283116825.79,0.00041580410571916956,8,3076044489.32,2677758405.85,0.00035452389876772873,-6.128020695144083e-05,2026-05,2026-06
2014-05,Setor público,4,1145931527.78,1114841461.6,0.0,4,1145931527.78,1114841461.6,0.0,0.0,2026-05,2026-06
2014-06,Agronegócio,1,134200265.92,60882859.07,0.0,1,134200265.92,60882859.07,0.0,0.0,2026-05,2026-06
2014-06,Ações judiciais,6,1132683413.55,1038219330.25,0.0,6,1132683413.55,1038219330.25,0.0,0.0,2026-05,2026-06
2014-06,Comercial,8,3087737948.1000004,2626813322.56,0.0020987292864143286,7,2584727538.54,2147330079.3600001,0.002567360324800699,0.0004686310383863702,2026-05,2026-06
2014-06,Financeiro,20,1006232202.72,958424308.68,0.016284879566020233,21,1258427506.56,1121006061.9,0.08496944934317129,0.06868456977715105,2026-05,2026-06
2014-06,Imobiliário,1,5019255.83,4843839.99,0.008715000926362144,1,5019255.83,4843839.99,0.008715000926362144,0.0,2026-05,2026-06
2014-06,Industrial,1,19653508168.0,17668603579.93,0.0,1,19653508168.0,17668603579.93,0.0,0.0,2026-05,2026-06
2014-06,Serviços,8,3026523268.46,2601613991.65,0.0012197000977794922,9,3529533678.02,3081097234.85,0.0010298892239129491,-0.00018981087386654304,2026-05,2026-06
2014-06,Setor público,4,1157824380.73,1136969030.4099998,0.0,4,1157824380.73,1136969030.4099998,0.0,0.0,2026-05,2026-06
2014-07,Agronegócio,1,137108536.85,52997018.45,0.0,1,137108536.85,52997018.45,0.0,0.0,2026-05,2026-06
2014-07,Ações judiciais,9,1171495044.77,1029357639.75,0.0,9,1171495044.77,1029357639.75,0.0,0.0,2026-05,2026-06
2014-07,Comercial,9,3104854251.29,2289038812.4900002,0.002658564593485496,8,2600404910.12,1915939878.23,0.003176277924556804,0.0005177133310713079,2026-05,2026-06
2014-07,Financeiro,21,1215971034.77,1142878825.3,0.014049267117872466,22,1472487470.7,1320817066.39,0.0671265477454246,0.05307728062755214,2026-05,2026-06
2014-07,Imobiliário,1,5070661.37,4846703.83,0.007339189941795969,1,5070661.37,4846703.83,0.007339189941795969,0.0,2026-05,2026-06
2014-07,Industrial,1,22716306954.51,21069543847.75,0.0,1,22716306954.51,21069543847.75,0.0,0.0,2026-05,2026-06
2014-07,Serviços,8,2639720217.86,2372369051.77,0.0018514436473207848,9,3144169559.0299997,2745467986.03,0.001599839310583753,-0.0002516043367370318,2026-05,2026-06
