competencia_origem,competencia_destino,bridge_group,cnpj_14,cnpj,cnpj_fundo_14,cnpj_fundo,denominacao,reportava_origem,reportava_destino,pl_origem_brl,pl_destino_brl,delta_pl_brl,carteira_origem_brl,carteira_destino_brl,delta_carteira_brl,inad_bruta_origem_brl,inad_bruta_destino_brl,delta_inad_bruta_brl,inad_ajustada_origem_brl,inad_ajustada_destino_brl,delta_inad_ajustada_brl,excesso_origem_brl,excesso_destino_brl,delta_excesso_brl,contribuicao_abs
2024-06,2024-07,fundos continuantes,52352829000157,52.352.829/0001-57,52352829000157,52.352.829/0001-57,LONG LIFE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,True,True,3017584.79,6709368.51,3691783.7199999997,9465874.95,5917132.28,-3548742.669999999,3781628.11,774520.64,-3007107.4699999997,3781628.11,774520.64,-3007107.4699999997,0.0,0.0,0.0,3007107.4699999997
2024-06,2024-07,fundos continuantes,37036208000170,37.036.208/0001-70,37036208000170,37.036.208/0001-70,UNIQUE PRIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,True,48633618.63,43028592.93,-5605025.700000003,38482187.6,38598974.98,116787.37999999523,1832855.32,4821924.33,2989069.01,1832855.32,4821924.33,2989069.01,0.0,0.0,0.0,2989069.01
2024-06,2024-07,fundos continuantes,30366229000105,30.366.229/0001-05,30366229000105,30.366.229/0001-05,ITAPEVA XII MULTICARTEIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,True,34376849.62,35777919.24,1401069.6200000048,42690725.94,39701715.08,-2989010.8599999994,42690725.94,39701715.08,-2989010.8599999994,42690725.94,39701715.08,-2989010.8599999994,0.0,0.0,0.0,2989010.8599999994
2024-06,2024-07,fundos continuantes,12796029000100,12.796.029/0001-00,12796029000100,12.796.029/0001-00,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MERCANTIS AUTO PEÇAS,True,True,161246549.81,151353993.11,-9892556.699999988,134200032.99,130466609.11,-3733423.879999995,10952724.54,7989146.26,-2963578.2799999993,10952724.54,7989146.26,-2963578.2799999993,0.0,0.0,0.0,2963578.2799999993
2024-06,2024-07,fundos continuantes,45445355000122,45.445.355/0001-22,45445355000122,45.445.355/0001-22,BEMOL CRÉDITO PESSOAL FIDC FINANCEIROS DE RESPONSABILIDADE LIMITADA,True,True,468331634.64,485473583.63,17141948.99000001,439346834.34,458478083.97,19131249.630000055,116817462.69,119776184.73,2958722.0400000066,116817462.69,119776184.73,2958722.0400000066,0.0,0.0,0.0,2958722.0400000066
2024-06,2024-07,fundos continuantes,50988212000105,50.988.212/0001-05,50988212000105,50.988.212/0001-05,CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II-RESPONSABILIDADE LIMITADA,True,True,473175804.45,378808956.85,-94366847.59999996,332901880.43,333318014.37,416133.9399999976,13634410.27,10681560.29,-2952849.9800000004,13634410.27,10681560.29,-2952849.9800000004,0.0,0.0,0.0,2952849.9800000004
2024-06,2024-07,fundos continuantes,29187006000100,29.187.006/0001-00,29187006000100,29.187.006/0001-00,CONTATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,True,True,108960150.0,108576473.39,-383676.6099999994,106530477.82,106415897.77,-114580.04999999702,9058882.83,11997285.67,2938402.84,9058882.83,11997285.67,2938402.84,0.0,0.0,0.0,2938402.84
2024-06,2024-07,fundos continuantes,46909301000133,46.909.301/0001-33,46909301000133,46.909.301/0001-33,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,True,True,2037975505.02,2008882262.36,-29093242.660000086,2139467405.8,3077327351.88,937859946.0800002,40112636.28,43045093.53,2932457.25,40112636.28,43045093.53,2932457.25,0.0,0.0,0.0,2932457.25
2024-06,2024-07,fundos continuantes,52041044000163,52.041.044/0001-63,52041044000163,52.041.044/0001-63,MALBEC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,217174244.54,224710635.71,7536391.170000017,201167387.59,210055492.55,8888104.960000008,24023620.75,21115010.31,-2908610.4400000013,24023620.75,21115010.31,-2908610.4400000013,0.0,0.0,0.0,2908610.4400000013
2024-06,2024-07,fundos continuantes,29720577000150,29.720.577/0001-50,29720577000150,29.720.577/0001-50,FALCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,True,21833829.29,20425735.98,-1408093.3099999987,15953063.81,14273858.55,-1679205.2599999998,12854919.15,15744421.44,2889502.289999999,12854919.15,14273858.55,1418939.4000000004,0.0,1470562.8899999987,1470562.8899999987,2889502.289999999
