competencia,tipo_recebivel_tabela_ii,fundos_presentes,fundos_incluidos,pl_presente_brl,pl_incluido_brl,carteira_incluida_brl,inadimplencia_ajustada_brl,inadimplencia_sobre_pl,inadimplencia_sobre_carteira,fundos_inad_supera_carteira_excluidos,fundos_campos_ausentes_excluidos,fundos_coorte,pl_coorte_referencia_brl,cobertura_fundos_coorte,cobertura_pl_referencia_coorte,fundos_inadimplencia_positiva,pl_inadimplencia_positiva_brl,carteira_inadimplencia_positiva_brl,inadimplencia_positiva_brl,inadimplencia_sobre_pl_ex_zeros,inadimplencia_sobre_carteira_ex_zeros,variacao_inadimplencia_sobre_pl_pp,variacao_inadimplencia_sobre_carteira_pp
2013-07,Setor público,4,4,1034439231.48,1034439231.48,1019320871.36,0.0,0.0,0.0,0,0,129,30600789960.969997,0.031007751937984496,0.06069414754517424,0,0.0,0.0,0.0,,,,
2013-07,Ações judiciais,7,6,998097201.9799999,990637432.9599999,986881054.37,11414009.5,0.011521883910539524,0.011565739811761223,1,0,160,21969975460.06,0.0375,0.029103651254977495,2,178710257.92,177696880.10999998,11414009.5,0.06386879876313259,0.06423303263925831,0.05234691485259307,0.05266729282749709
2013-07,Agronegócio,1,0,7063431.07,0.0,0.0,0.0,,,1,0,36,7064715402.79,0.0,0.0,0,0.0,0.0,0.0,,,,
2013-08,Financeiro,21,20,1436746121.29,1420298367.41,1100258079.9,131238392.53,0.09240198787901245,0.1192796444102714,1,0,1215,256239377629.81,0.01646090534979424,0.0208679548579575,8,793680281.9399999,652836249.16,131238392.53,0.16535423081094167,0.20102804140986896,0.07295224293192921,0.08174839699959756
2013-08,Comercial,5,5,2087067812.98,2087067812.98,1912664150.0600002,487865.95,0.00023375663548919632,0.0002550714143853722,0,0,257,93385844928.04,0.019455252918287938,0.035917001375685875,2,2017468524.1399999,1852560684.72,487865.95,0.0002418208483366381,0.00026334681180699735,8.064212847441775e-06,8.275397421625148e-06
2013-08,Industrial,1,1,30290251895.82,30290251895.82,29811199483.12,0.0,0.0,0.0,0,0,52,65013548181.39,0.019230769230769232,0.9421877943364444,0,0.0,0.0,0.0,,,,
2013-08,Serviços,7,7,2281486889.99,2281486889.99,2090299608.98,448771.76,0.00019670144148931185,0.00021469255319766644,0,0,160,36529338314.49,0.04375,0.180906421726743,1,158989519.02,145290320.1,448771.76,0.002822649963130884,0.003088793249895249,0.0026259485216415723,0.0028741006966975825
2013-08,Setor público,4,4,1044109466.17,1044109466.17,1025973458.08,0.0,0.0,0.0,0,0,129,30600789960.969997,0.031007751937984496,0.06069414754517424,0,0.0,0.0,0.0,,,,
2013-08,Ações judiciais,7,6,1004646162.8299999,997104949.26,991505982.42,12964165.3,0.013001806188627724,0.013075226503785639,1,0,160,21969975460.06,0.0375,0.029103651254977495,1,44589179.91,44621714.62,12964165.3,0.29074688806044924,0.29053489787210696,0.2777450818718215,0.27745967136832134
2013-08,Agronegócio,1,0,6790044.41,0.0,0.0,0.0,,,1,0,36,7064715402.79,0.0,0.0,0,0.0,0.0,0.0,,,,
