grupo,fundo,nome_curto,cnpj,data_referencia,evento,categoria,tipo_documento,especie,documento_id,arquivo_local_existe,source_file
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/2024,Informe trimestral,outro,Informe Trimestral,,653128,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28/03/2024,Relatório de rating,outro,Relatório de Agência de Rating,,664505,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,06/2024,Informe trimestral,outro,Informe Trimestral,,714174,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,15/06/2024 23:59,Assembleia / deliberação,assembleia,AGE,Carta Consulta,674485,True,data/raw/28472333000132/674485_assembleia_assembleia_674485_2024-06-15.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,17/06/2024 10:00,Assembleia / deliberação,assembleia,AGO,Ata da Assembleia,681860,True,data/raw/28472333000132/681860_assembleia_assembleia_681860_2024-06-17.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,28/06/2024,Relatório de rating,outro,Relatório de Agência de Rating,,709466,False,
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024 10:00,Assembleia / deliberação,assembleia,AGE,Ata da Assembleia,732139,True,data/raw/28472333000132/732139_assembleia_assembleia_732139_2024-09-03.pdf
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024,Regulamento / alteração regulatória,regulamento,Regulamento,,732140,True,data/raw/28472333000132/732140_regulamento_regulamento_732140_2024-09-03.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,12/2020,Informe trimestral,outro,Informe Trimestral,,149747,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,31/12/2020,Demonstrações financeiras,outro,Demonstrações Financeiras,,259351,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/2021,Informe trimestral,outro,Informe Trimestral,,180899,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,06/2021,Informe trimestral,outro,Informe Trimestral,,206633,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021 09:00,Assembleia / deliberação,assembleia,AGE,Ata da Assembleia,196309,True,data/raw/33254370000104/196309_assembleia_assembleia_196309_2021-07-15.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021,Regulamento / alteração regulatória,regulamento,Regulamento,,206963,True,data/raw/33254370000104/206963_regulamento_regulamento_206963_2021-07-15.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/07/2021,Regulamento / alteração regulatória,regulamento,Instrumento Particular de Alteração do Regulamento,,201177,True,data/raw/33254370000104/201177_regulamento_regulamento_201177_2021-07-30.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,Outro documento CVM,outro,Outros Documentos,,207363,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,Regulamento / alteração regulatória,regulamento,Regulamento,,207364,True,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021 16:00,Assembleia / deliberação,assembleia,AGE,Ata da Assembleia,211844,True,data/raw/33254370000104/211844_assembleia_assembleia_211844_2021-08-13.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,09/2021,Informe trimestral,outro,Informe Trimestral,,236959,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,09/2021,Informe trimestral,outro,Informe Trimestral,,265200,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/09/2021,Outro documento CVM,outro,Outros Documentos,,237022,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/09/2021,Relatório de rating,outro,Relatório de Agência de Rating,,239154,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/10/2021 16:00,Assembleia / deliberação,assembleia,AGE,Ata da Assembleia,228022,True,data/raw/33254370000104/228022_assembleia_assembleia_228022_2021-10-21.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/10/2021,Regulamento / alteração regulatória,regulamento,Regulamento,,228026,True,data/raw/33254370000104/228026_regulamento_regulamento_228026_2021-10-21.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,12/2021,Informe trimestral,outro,Informe Trimestral,,269524,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,31/12/2021,Relatório de rating,outro,Relatório de Agência de Rating,,269349,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,31/12/2021,Demonstrações financeiras,outro,Demonstrações Financeiras,,474003,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/2022,Informe trimestral,outro,Informe Trimestral,,304753,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,31/03/2022,Relatório de rating,outro,Relatório de Agência de Rating,,304722,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,06/2022,Informe trimestral,outro,Informe Trimestral,,339514,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,06/2022,Informe trimestral,outro,Informe Trimestral,,345265,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,29/06/2022 10:00,Assembleia / deliberação,assembleia,AGE,Ata da Assembleia,325863,True,data/raw/33254370000104/325863_assembleia_assembleia_325863_2022-06-29.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,29/06/2022,Regulamento / alteração regulatória,regulamento,Regulamento,,325865,True,data/raw/33254370000104/325865_regulamento_regulamento_325865_2022-06-29.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/06/2022,Relatório de rating,outro,Relatório de Agência de Rating,,339360,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,09/2022,Informe trimestral,outro,Informe Trimestral,,377130,False,
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/09/2022,Regulamento / alteração regulatória,regulamento,Regulamento,,376737,True,data/raw/33254370000104/376737_regulamento_regulamento_376737_2022-09-30.pdf
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,30/09/2022,Relatório de rating,outro,Relatório de Agência de Rating,,385084,False,
