rank_pl_fundo,cnpj_fundo_raw,fundo,pl_fundo_reais,pl_fundo_pct_industria_origem,pl_acumulado_pct_origem,cedentes_declarados_fundo,administrador,cnpj_fundo,pl_negativo_flag,cedente_declarado_flag,pl_com_cedente_reais,pl_sem_cedente_reais,pl_total_acumulado_reais,pl_total_acumulado_pct,fundos_com_cedente_acumulado,fundos_sem_cedente_acumulado,pl_com_cedente_acumulado_reais,pl_sem_cedente_acumulado_reais,pl_com_cedente_acumulado_pct_industria,pl_sem_cedente_acumulado_pct_industria,pl_com_cedente_pct_dentro_corte,dentro_corte_recomendado_flag,corte_recomendado_flag,marco_cobertura
31,17.250.006/0001-10,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,3394314559.41,0.00339694297875,0.275148820048,1,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,17250006000110,False,True,3394314559.41,0,274935920836.69,0.275148820048,11,20,116452111766.78,158483809069.91,0.116542287553,0.158606532495,0.423560920713,True,False,
32,49.826.785/0001-45,ASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3364983017.12,0.0033675887233,0.278516408771,1,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,49826785000145,False,True,3364983017.12,0,278300903853.81,0.278516408771,12,20,119817094783.90,158483809069.91,0.119909876276,0.158606532495,0.430530742533,True,False,
33,60.356.171/0001-80,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,3254537202.75,0.00325705738418,0.281773466155,0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,60356171000180,False,False,0,3254537202.75,281555441056.56,0.281773466155,12,21,119817094783.90,161738346272.66,0.119909876276,0.161863589879,0.425554179789,True,False,
34,07.727.002/0001-26,FIDC PCG - BRASIL MULTICARTEIRA,3140454721.87,0.00314288656246,0.284916352718,0,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,07727002000126,False,False,0,3140454721.87,284695895778.43,0.284916352718,12,22,119817094783.90,164878800994.53,0.119909876276,0.165006476442,0.420859930054,True,False,
35,62.393.829/0001-59,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,3091715187.97,0.00309410928665,0.288010462004,9,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62393829000159,False,True,3091715187.97,0,287787610966.40,0.288010462004,13,22,122908809971.87,164878800994.53,0.123003985563,0.165006476442,0.427081657751,True,False,
36,11.468.186/0001-24,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,3090301588.05,0.00309269459209,0.291103156596,0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,11468186000124,False,False,0,3090301588.05,290877912554.45,0.291103156596,13,23,122908809971.87,167969102582.58,0.123003985563,0.168099171034,0.422544320717,True,False,
37,62.588.266/0001-54,VTK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3085111034.31,0.003087500019,0.294190656615,0,OLIVEIRA TRUST DTVM S.A.,62588266000154,False,False,0,3085111034.31,293963023588.76,0.294190656615,13,24,122908809971.87,171054213616.89,0.123003985563,0.171186671053,0.418109762484,True,False,
38,60.010.416/0001-12,MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3072067502.44,0.00307444638675,0.297265103002,0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,60010416000112,False,False,0,3072067502.44,297035091091.20,0.297265103002,13,25,122908809971.87,174126281119.33,0.123003985563,0.17426111744,0.4137854875,True,False,
39,51.079.269/0001-46,CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,3058107297.60,0.00306047537169,0.300325578374,0,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,51079269000146,False,False,0,3058107297.60,300093198388.80,0.300325578374,13,26,122908809971.87,177184388416.93,0.123003985563,0.177321592811,0.409568796067,True,False,
40,24.194.675/0001-87,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,3030582055.52,0.00303292881518,0.303358507189,2,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,24194675000187,False,True,3030582055.52,0,303123780444.32,0.303358507189,14,26,125939392027.39,177184388416.93,0.126036914378,0.177321592811,0.415471830824,True,False,
