CNPJ,CNPJ formatado,Competências,Primeira competência,Última competência
06959388000139,06.959.388/0001-39,202606,202606,202606
06982609000190,06.982.609/0001-90,202312 · 202412,202312,202412
07322382000119,07.322.382/0001-19,202512 · 202606,202512,202606
07366063000105,07.366.063/0001-05,202312 · 202412,202312,202412
07467822000126,07.467.822/0001-26,202312 · 202412 · 202512,202312,202512
07534739000122,07.534.739/0001-22,202512 · 202606,202512,202606
07580512000113,07.580.512/0001-13,202312,202312,202312
07660765000105,07.660.765/0001-05,202312,202312,202312
07666567000140,07.666.567/0001-40,202512,202512,202512
07670089000142,07.670.089/0001-42,202512,202512,202512
07679404000100,07.679.404/0001-00,202312 · 202412,202312,202412
07698801000111,07.698.801/0001-11,202312,202312,202312
07707650000110,07.707.650/0001-10,202512 · 202606,202512,202606
08059135000134,08.059.135/0001-34,202312 · 202412,202312,202412
08201770000104,08.201.770/0001-04,202312,202312,202312
08608615000107,08.608.615/0001-07,202312,202312,202312
08632394000102,08.632.394/0001-02,202312 · 202412,202312,202412
08662033000109,08.662.033/0001-09,202512 · 202606,202512,202606
08678936000188,08.678.936/0001-88,202512,202512,202512
08765374000100,08.765.374/0001-00,202312 · 202412 · 202512 · 202606,202312,202606
08769451000108,08.769.451/0001-08,202412 · 202512,202412,202512
08793343000162,08.793.343/0001-62,202312 · 202412,202312,202412
08837556000149,08.837.556/0001-49,202512 · 202606,202512,202606
08934225000127,08.934.225/0001-27,202412 · 202512,202412,202512
08974214000170,08.974.214/0001-70,202512,202512,202512
09115244000194,09.115.244/0001-94,202312 · 202412,202312,202412
09267863000609,09.267.863/0006-09,202312,202312,202312
09477652000196,09.477.652/0001-96,202412 · 202512,202412,202512
09516419000175,09.516.419/0001-75,202512 · 202606,202512,202606
10271670000104,10.271.670/0001-04,202312 · 202512 · 202606,202312,202606
10394422000142,10.394.422/0001-42,202412 · 202512 · 202606,202412,202606
10403238000111,10.403.238/0001-11,202312,202312,202312
10403719000127,10.403.719/0001-27,202312,202312,202312
10425282000122,10.425.282/0001-22,202312 · 202412 · 202606,202312,202606
10434089000158,10.434.089/0001-58,202512,202512,202512
10505299000190,10.505.299/0001-90,202312,202312,202312
10567502000152,10.567.502/0001-52,202512,202512,202512
10573521000191,10.573.521/0001-91,202312,202312,202312
10753164000143,10.753.164/0001-43,202412 · 202512,202412,202512
10776540000115,10.776.540/0001-15,202512 · 202606,202512,202606
10812668000197,10.812.668/0001-97,202312,202312,202312
10841847000152,10.841.847/0001-52,202512,202512,202512
10923227000162,10.923.227/0001-62,202412 · 202512 · 202606,202412,202606
