competencia,classe_analitica,participant,pl_brl,fundos,share_tipo,rank_tipo
2024-12,"Agro, Indústria e Comércio",QI TECH + SINGULARE,61698912450.9,472,0.20887635972567214,2
2024-12,"Agro, Indústria e Comércio",RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,42985718.12,1,0.00014552445034172546,30
2024-12,"Agro, Indústria e Comércio",S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,6933660041.78,7,0.023473309521539747,9
2024-12,"Agro, Indústria e Comércio",SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7277805749.379999,8,0.024638385205424915,8
2024-12,"Agro, Indústria e Comércio",VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6330636991.83,41,0.02143182686810619,10
2024-12,"Agro, Indústria e Comércio",WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,94079545.28999999,4,0.0003184982062764877,28
2024-12,"Agro, Indústria e Comércio",XP INVESTIMENTOS CCTVM S.A,6277764695.87,7,0.02125283225909664,11
2024-12,Financeiro,ATIVA INVESTIMENTOS S.A. C.T.C.V,2076.68,1,1.116223502465027e-08,39
2024-12,Financeiro,AZUMI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,373059122.34999996,15,0.002005207158426171,28
2024-12,Financeiro,BANCO DAYCOVAL S.A,30677634103.44,143,0.16489346546546582,2
2024-12,Financeiro,BANCO FINAXIS S.A,227683794.86,2,0.001223809171144124,30
2024-12,Financeiro,BANCO J. SAFRA S.A,943636656.54,1,0.005072083391844032,23
2024-12,Financeiro,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,12468956511.63,79,0.06702112173996833,4
2024-12,Financeiro,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,3012833562.0699997,3,0.016194096495357774,14
2024-12,Financeiro,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,10892605067.07,59,0.0585481719809175,5
2024-12,Financeiro,BTG PACTUAL,902668033.37,5,0.0048518754635836015,24
2024-12,Financeiro,CAIXA ECONOMICA FEDERAL,4788418.25,1,2.5737932614954906e-05,37
2024-12,Financeiro,CATALISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2766673265.09,43,0.014870975413328545,15
2024-12,Financeiro,DILLON S/A DTVM,65989614.47,1,0.00035469672067925834,34
