grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,PDD / Venc > 90 d,6.746941834272303,ratio,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO II BRASIL,41.970.012/0001-26,03/2026,Cotas MZ / PL %,18.84080471048263,%,Visão Executiva canônica; cache IME local a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc,.cache/fundonet-ime/a170845abbad707e34a2b824955f766d5ae8d23e814372d06d51280efa1f85dc
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,PDD / Venc Total,3.2321487371207076,ratio,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Recompras / Crédito,0.0,ratio,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos Over 90 d (R$ MM),408.12218364,R$ MM,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos Over 60 d / Crédito,0.3195770554827082,ratio,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos Over 60 d (R$ MM),451.3271116199999,R$ MM,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos Over 30 d / Crédito,0.345070637611633,ratio,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos Over 30 d (R$ MM),487.33077517999993,R$ MM,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos Total / Crédito,0.4009840442225187,ratio,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos > 90 d / Crédito,0.28898438043460234,ratio,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos <= 90 d / Crédito,0.11199966378791636,ratio,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos Total (R$ MM),566.29525612,R$ MM,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos > 90 d (R$ MM),408.12218364,R$ MM,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Vencidos <= 90 d (R$ MM),158.17307248000003,R$ MM,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Dir Cred / PL,1.8989486140267613,ratio,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,Dir Cred (R$ MM),1412.26381518,R$ MM,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,PL (R$ MM),743.70828402,R$ MM,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO I BRASIL,37.511.828/0001-14,03/2026,PL (R$),743708284.02,R$ bruto,Visão Executiva canônica; cache IME local 03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d,.cache/fundonet-ime/03ce1fed87ad190a5220d77dba4c4ecc07b2b718a83be5f8a29964ec4cedd72d
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Cotas MZ / PL %,0.0,%,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Rentabilidade Sub % a.m.,-9.94,%,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Rentabilidade SR % a.m.,0.4945055407894855,%,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Cotas Sub / PL %,81.30049695699032,%,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
Mercado Credito Soma,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,MERCADO CRÉDITO,33.254.370/0001-04,03/2026,Cotas SR / PL %,18.69950304300963,%,Visão Executiva canônica; cache IME local 0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab,.cache/fundonet-ime/0551973487c5455ab93d94658d9147d88789b77d92655f3d1f36a60e212b71ab
